sample_size,rho,innovation,effect,true_effect,simulations,bias,rmse,growing_lag,coverage_student,coverage_nw2,coverage_hac,rejection_student,rejection_nw2,rejection_hac,rejection_sign,rejection_three_025,z_mean,z_sd,z_q025,z_q975
33,0.6,gaussian,application,-0.07,10000,0.000268264104142114,0.0404855949264205,3,0.6731,0.7949,0.796,0.8072,0.7238,0.7138,0.7151,0.5917,0.00642108313359078,0.969077332681452,-1.90407071201585,1.87769185016234
33,0.6,skewed,null,0,10000,0.000199905838698625,0.0409026485814581,3,0.6491,0.7757,0.7789,0.2607,0.1998,0.1954,0.3428,0.1487,0.00478488172422072,0.979069875208639,-1.70498060500175,2.12253171242272
33,0.6,skewed,moderate,-0.035,10000,0.000429036892355131,0.0405276828916021,3,0.6564,0.7784,0.7801,0.5555,0.4672,0.4593,0.6516,0.3902,0.0102692887742085,0.970051700929961,-1.67693967865224,2.09620040458164
33,0.6,skewed,application,-0.07,10000,0.000372781962850031,0.0407037615678902,3,0.6503,0.7774,0.7771,0.7947,0.7205,0.7118,0.8556,0.6508,0.0089227889128809,0.974279972874093,-1.68319090664889,2.091208994715
33,0.6,t3,null,0,10000,-0.000135689630544589,0.0399419410341613,3,0.6653,0.798,0.8009,0.2165,0.1445,0.1411,0.1647,0.0806,-0.00324782326312075,0.956079715521212,-1.86566405116724,1.83265877409886
33,0.6,t3,moderate,-0.035,10000,-0.000542117993069366,0.040038337391133,3,0.6601,0.7992,0.8028,0.5689,0.4668,0.4577,0.5261,0.3477,-0.0129759615541768,0.958304804523401,-1.89433213978824,1.82340814158632
33,0.6,t3,application,-0.07,10000,5.5664367591711e-05,0.0415772269702728,3,0.6539,0.7958,0.7975,0.8483,0.7764,0.7682,0.8457,0.6837,0.00133236436171042,0.99522797491223,-1.95681038549501,1.88196123848165
60,0,gaussian,null,0,10000,2.27380215118587e-05,0.015542306481982,3,0.951,0.9404,0.9286,0.0502,0.0576,0.0651,0.0488,0.0077,0.00146773297735226,1.00330066209712,-1.92509680215366,1.95130096149515
60,0,gaussian,moderate,-0.035,10000,-0.00017871395308429,0.0156224004904544,3,0.948,0.9358,0.9237,0.7184,0.7357,0.7473,0.5436,0.3171,-0.0115359360671725,1.00840605163438,-2.0072668502284,1.94315024304137
60,0,gaussian,application,-0.07,10000,-2.87334584274448e-05,0.0155094896117424,3,0.9501,0.9379,0.928,0.9971,0.9967,0.9969,0.9681,0.907,-0.00185473676614064,1.00118159182668,-1.94139031398894,1.97835995842049
60,0,skewed,null,0,10000,-1.67375183064801e-05,0.0155343520787988,3,0.9337,0.9221,0.9107,0.0917,0.1002,0.1063,0.6259,0.0518,-0.00108040216096396,1.00278767351818,-1.79098847612075,2.10109957762268
60,0,skewed,moderate,-0.035,10000,0.000201335688388594,0.015414965164543,3,0.9349,0.9255,0.9143,0.7057,0.7167,0.7267,0.983,0.5945,0.0129961628021039,0.994996598407492,-1.79307954828881,2.08914398378751
60,0,skewed,application,-0.07,10000,0.000394239958540552,0.0154514327565149,3,0.9411,0.9316,0.9199,0.9763,0.9772,0.9785,0.9995,0.9549,0.0254480798972843,0.997110848496071,-1.7844220784137,2.14981888113399
60,0,t3,null,0,10000,0.000194719060991048,0.0158337947994446,3,0.9544,0.943,0.9324,0.0467,0.0551,0.0615,0.0472,0.0048,0.0125690613401246,1.02204087462984,-1.96334007548704,2.00735216157724
60,0,t3,moderate,-0.035,10000,8.02288889796348e-05,0.0152267054940879,3,0.9545,0.9434,0.9334,0.7746,0.7825,0.7915,0.8695,0.5701,0.00517875251504749,0.982915116842298,-1.92447873863983,1.96092872342017
60,0,t3,application,-0.07,10000,-8.40930019479727e-05,0.0153553042729269,3,0.9566,0.9476,0.9359,0.9875,0.9872,0.9881,1,0.9758,-0.00542817993461804,0.991215326987065,-1.8905209925504,1.92156643244181
60,0.3,gaussian,null,0,10000,0.000160812782769039,0.0209653627067552,3,0.8495,0.8999,0.8971,0.1125,0.0825,0.0831,0.0886,0.0277,0.00761714618041435,0.993077272520406,-1.98750302240159,1.92150130742134
60,0.3,gaussian,moderate,-0.035,10000,-0.000157804000110337,0.020675257305286,3,0.8592,0.9087,0.9043,0.6753,0.595,0.5936,0.5421,0.3371,-0.00747463053618626,0.979335982628779,-1.91666826508016,1.90152055343374
60,0.3,gaussian,application,-0.07,10000,0.000326798505167827,0.0208263083739282,3,0.8557,0.9058,0.9028,0.9838,0.97,0.9688,0.9392,0.8596,0.0154793166472304,0.986398173482059,-1.91385151430124,1.91040056176779
60,0.3,skewed,null,0,10000,-0.000192001206622427,0.0208498926642746,3,0.8425,0.8904,0.8885,0.1522,0.1187,0.1207,0.5254,0.0832,-0.00909443411447836,0.987594919940102,-1.8129025207973,2.07246100470477
60,0.3,skewed,moderate,-0.035,10000,0.000175193708843521,0.0209587223510407,3,0.8412,0.8912,0.8881,0.6745,0.6125,0.6106,0.9373,0.5223,0.00829832098650156,0.992757256132121,-1.78158934759723,2.1311778786989
60,0.3,skewed,application,-0.07,10000,-1.09743398099393e-05,0.0209660216469962,3,0.8374,0.8857,0.8837,0.9552,0.9323,0.9309,0.9967,0.8957,-0.000519816578797027,0.99313756493428,-1.83326572574616,2.08453497509552
60,0.3,t3,null,0,10000,-0.000142025791761941,0.0208233707020576,3,0.8521,0.9047,0.9005,0.1185,0.0811,0.0809,0.1001,0.0237,-0.00672727129405819,0.9863575373858,-1.91685726447772,1.97559595210428
60,0.3,t3,moderate,-0.035,10000,0.000351429691068397,0.0208752515383899,3,0.847,0.9067,0.9035,0.7185,0.6466,0.6448,0.7748,0.4789,0.0166460108637656,0.98869788673948,-1.91264357206542,1.9640759294851
60,0.3,t3,application,-0.07,10000,-0.000104546461689075,0.0208667359679528,3,0.8514,0.9049,0.9008,0.9742,0.9647,0.9631,0.9957,0.9388,-0.00495200485694271,0.988422240118671,-1.95906823308024,1.95012976084585
60,0.6,gaussian,null,0,10000,-0.000107967987909555,0.030563016853067,3,0.6695,0.81,0.8247,0.2116,0.131,0.1231,0.1681,0.0729,-0.00348465182581028,0.986460296575194,-1.91734142292584,1.93535801735269
60,0.6,gaussian,moderate,-0.035,10000,-0.000288701762683971,0.0306580312038646,3,0.6688,0.8148,0.8305,0.633,0.5088,0.4875,0.5333,0.3573,-0.00931780932413123,0.9894893049055,-1.95870839963878,1.89730001097035
60,0.6,gaussian,application,-0.07,10000,0.000300916406748951,0.0303603755482122,3,0.6726,0.8133,0.8282,0.9274,0.8698,0.8566,0.8717,0.7594,0.00971203526616051,0.979877770942334,-1.88932704844095,1.92006714742136
60,0.6,skewed,null,0,10000,9.00946676144935e-05,0.0302563868575458,3,0.659,0.8007,0.815,0.2445,0.1795,0.1693,0.4251,0.1344,0.00290779289377524,0.976565186989651,-1.78427929735045,2.05763724687576
60,0.6,skewed,moderate,-0.035,10000,-0.000160185806630276,0.0306200018548426,3,0.6539,0.7989,0.8147,0.6441,0.5422,0.5234,0.8074,0.4666,-0.00516997467814874,0.988292202994566,-1.76703787513173,2.09512479501833
60,0.6,skewed,application,-0.07,10000,-0.000184433309355185,0.0303779634705401,3,0.6651,0.8017,0.8158,0.9014,0.8426,0.8316,0.9651,0.7912,-0.00595255946348791,0.980475510097834,-1.76125217825553,2.04924522410178
60,0.6,t3,null,0,10000,-3.28337272103886e-05,0.0298779699644995,3,0.6609,0.8102,0.8263,0.2164,0.1358,0.1248,0.1768,0.0742,-0.00105970398899785,0.964354970776462,-1.89753247902939,1.86761343692041
60,0.6,t3,moderate,-0.035,10000,4.80561349051507e-05,0.0306286850367238,3,0.6662,0.8129,0.8287,0.6692,0.5648,0.542,0.666,0.4329,0.00155100508475622,0.988584772579266,-1.88903406174772,1.92087851280672
60,0.6,t3,application,-0.07,10000,0.000258544671549915,0.0304559488953678,3,0.6596,0.8148,0.8302,0.9292,0.884,0.8752,0.9551,0.8306,0.00834449339302895,0.982975254459087,-1.9392862333217,1.91888062793015
120,0,gaussian,null,0,10000,0.000134971667318034,0.0109849512914415,4,0.9485,0.9435,0.9372,0.0513,0.0548,0.0591,0.0399,0.0072,0.012321171135695,1.00275871069409,-1.97698497449498,1.96554625375639
