analysis_role,site_id,lon,lat,moderate_anomaly,extreme_anomaly,anomaly_difference,profile_contribution,contribution_h_0_125,contribution_h_0_250,contribution_h_0_500,contribution_h_1_000,contribution_h_2_000
confirmatory,102,117.8,34.8,2.17387810372024,2.73248745763837,0.558609353918127,-0.000408578753906234,-0.000653268141043071,-0.000734599670307665,-0.000446437687601203,-0.000133790249742923,-7.47980208363086e-05
confirmatory,103,117.8,36.6,0.331258058217595,0.889344719002004,0.558086660784409,-0.000369924177368998,-0.000118009907663086,-0.000347530620186358,-0.000469053772243535,-0.000451447631446578,-0.000463578955305433
confirmatory,104,117.8,40.2,0.277269944292631,0.729734412815135,0.452464468522504,-0.000343799657885527,-0.000337020775561528,-0.000277208176091995,-0.000249207354859729,-0.000362314295061895,-0.000493247687852487
confirmatory,105,117.8,42,-5.19341480700607,-4.69248083276567,0.500933974240397,-0.000463764371951829,-0.000156488668309825,-6.15998768001491e-05,-2.26788401402555e-05,-0.00068571234254999,-0.00139234213195893
confirmatory,106,119.4,25.8,3.88395463811178,3.02221185410301,-0.861742784008761,-0.000924046796326208,-0.000427979825195528,-0.000383801918476163,-0.00053202609449064,-0.00137455528165943,-0.00190187086180928
confirmatory,107,119.4,27.6,-0.123930581320645,-0.821668385795976,-0.697737804475332,0.00017262036348993,5.07573371224704e-05,0.000524333789261955,0.000616862356625578,-8.86460016119353e-06,-0.000319987065399162
confirmatory,108,119.4,29.4,3.23365076841481,2.78953505233534,-0.444115716079468,-0.000632346043799262,0.000176837123464341,-0.000136864723593862,-0.000601454192199162,-0.00124907696356539,-0.00135117146310224
confirmatory,109,119.4,31.2,3.26138315148359,3.22484017481008,-0.0365429766735038,-0.000690011823111229,-0.000420918962375915,-0.000310215921324226,-0.000748343508101967,-0.00101557923494654,-0.000955001488807495
confirmatory,110,119.4,33,3.09671469943934,3.37178438945655,0.275069690017213,-0.000513903345223199,-0.000542776971628874,-0.000520583411711124,-0.000598806151905533,-0.000503597148330819,-0.000403753042539644
confirmatory,111,119.4,36.6,1.2872733642782,1.82583926003736,0.538565895759156,-0.000259045823887766,-0.000142868772874635,-0.000289956542855736,-0.000342951566539546,-0.000263882059803252,-0.000255570177365659
confirmatory,112,119.4,40.2,-1.54668215931487,-1.05300657708386,0.493675582231018,-0.000421306088804924,-0.000253989512606561,-0.000206406309018015,-0.000235612099629638,-0.0005602764593099,-0.000850246063460508
confirmatory,113,119.4,42,-3.25053257391324,-2.78450698870002,0.466025585213221,-0.000341493703642537,-0.000188701698729026,-0.000134485976810219,-2.00744281197534e-05,-0.000426184202096529,-0.000938022212457159
confirmatory,114,121,24,1.09304728717382,0.143897101577761,-0.949150185596063,-0.000132359544783165,-2.95614766174651e-05,-3.33264775370078e-05,0.00016598898164683,-0.000128186477862854,-0.000636712273545329
confirmatory,115,121,29.4,2.46745365182029,2.0281628629414,-0.439290788878891,-0.000472899919151791,0.000195703317871722,-1.27860057619218e-06,-0.000348591324600653,-0.00100657679048166,-0.00120375619797217
confirmatory,116,121,31.2,3.54499744604828,3.47406122531513,-0.0709362207331479,-0.000568915922490707,-8.34819135496064e-05,-0.000138934359547881,-0.000582534861826965,-0.00100754549407407,-0.00103208298345502
confirmatory,117,121,42,-1.53588580137837,-1.08667186117476,0.449213940203601,-0.000312879277246276,-0.000341750710722241,-0.00015965261033571,-6.23658916849141e-05,-0.000318419018725929,-0.000682208154762589
confirmatory,118,122.6,40.2,-0.580940452460616,-0.31667513453335,0.264265317927266,-0.000290151590225476,-9.383222012687e-05,-0.000139464509535394,-0.000171282835915735,-0.000408309655928774,-0.000637868729620608
confirmatory,119,122.6,42,-0.292679174971438,-0.0299923176141581,0.26268685735728,-0.000293106683022079,-0.000234990129161059,-0.000203889626984687,-0.000168346249101159,-0.000315697556105278,-0.000542609853758211
confirmatory,120,124.2,40.2,-0.50466506669823,-0.44170811243739,0.0629569542608397,-0.00025222420006659,-6.32124145448215e-05,-0.000102823636605912,-0.000127170809166981,-0.000361984882520826,-0.000605929257494407
