basis,year,bandwidth_km,total_effect,structured_component,residual_component,analysis_role
latitude,2016,125.7997650312984,0.07912357863536047,-0.005742171515312956,0.08486575015067337,held_out
latitude,2016,251.5995300625968,0.08252566992073156,-0.019936355274036106,0.10246202519476828,held_out
latitude,2016,503.1990601251936,0.07206136470475583,-0.0540317333438378,0.12609309804859362,held_out
latitude,2016,1006.3981202503873,0.03373301472123153,-0.09056328771513666,0.12429630243636884,held_out
latitude,2016,2012.7962405007745,0.009219372644961782,-0.10864620188690809,0.11786557453186991,held_out
latitude,2017,125.7997650312984,-0.031226640591187262,-0.025335819990179632,-0.005890820601007442,held_out
latitude,2017,251.5995300625968,-0.03188029811473266,-0.04426366382980781,0.012383365715075008,held_out
latitude,2017,503.1990601251936,-0.045966681386309945,-0.07697215606641676,0.031005474680106684,held_out
latitude,2017,1006.3981202503873,-0.09289706399131904,-0.11720514793233212,0.024308083941013293,held_out
latitude,2017,2012.7962405007745,-0.12391302359437383,-0.14056507687585817,0.01665205328148414,held_out
latitude,2018,125.7997650312984,-0.09383054468399976,-0.036191919007115526,-0.05763862567688468,held_out
latitude,2018,251.5995300625968,-0.11276327190829226,-0.061461083823523666,-0.05130218808476833,held_out
latitude,2018,503.1990601251936,-0.13352527857057042,-0.10861437569416837,-0.024910902876401325,held_out
latitude,2018,1006.3981202503873,-0.1944829893698605,-0.17303597025782722,-0.02144701911203306,held_out
latitude,2018,2012.7962405007745,-0.23857265438439854,-0.21301198881063246,-0.0255606655737662,held_out
latitude,2019,125.7997650312984,-0.06714857394952246,-0.02913899214128907,-0.03800958180823364,held_out
latitude,2019,251.5995300625968,-0.07598703188008145,-0.052104464665530405,-0.023882567214550912,held_out
latitude,2019,503.1990601251936,-0.08557682369172363,-0.08902661822152502,0.003449794529800765,held_out
latitude,2019,1006.3981202503873,-0.11283552199027624,-0.12986025919393626,0.01702473720365989,held_out
latitude,2019,2012.7962405007745,-0.13473272799303715,-0.1530326570044823,0.01829992901144503,held_out
latitude,2020,125.7997650312984,-0.021265519774995172,-0.014800474509442654,-0.006465045265551462,held_out
latitude,2020,251.5995300625968,-0.02977817005329235,-0.029264075709157025,-0.0005140943441351982,held_out
latitude,2020,503.1990601251936,-0.058464573821708325,-0.06264223499406624,0.0041776611723574105,held_out
latitude,2020,1006.3981202503873,-0.09540801503886664,-0.09668441511389299,0.0012764000750259017,held_out
latitude,2020,2012.7962405007745,-0.11069292696552456,-0.1095173826970799,-0.001175544268444571,held_out
latitude,2021,125.7997650312984,-0.07016701212050834,-0.02610608316967898,-0.04406092895082938,held_out
latitude,2021,251.5995300625968,-0.06809586653998997,-0.04413951289874473,-0.023956353641245123,held_out
latitude,2021,503.1990601251936,-0.0706766462904372,-0.07582480428132994,0.005148157990892689,held_out
latitude,2021,1006.3981202503873,-0.10265702028341671,-0.11093119037468345,0.008274170091266872,held_out
latitude,2021,2012.7962405007745,-0.12381785210625695,-0.1283395880806975,0.004521735974440124,held_out
latitude,2022,125.7997650312984,0.033520855672358026,-0.03125538313359998,0.06477623880595827,development
latitude,2022,251.5995300625968,-0.006512407228926824,-0.06152908278920458,0.055016675560277895,development
latitude,2022,503.1990601251936,-0.08609336956944919,-0.11244680878253756,0.02635343921308887,development
latitude,2022,1006.3981202503873,-0.1673420555296294,-0.17691368738576965,0.009571631856139984,development
latitude,2022,2012.7962405007745,-0.2091480203186645,-0.21405829380323124,0.004910273484566509,development
latitude,2023,125.7997650312984,-0.13617324702248387,-0.028270653824582274,-0.10790259319790106,held_out
latitude,2023,251.5995300625968,-0.17455839585055502,-0.05405810484191775,-0.12050029100863809,held_out
latitude,2023,503.1990601251936,-0.21635927278475905,-0.1038511481786125,-0.11250812460614634,held_out
latitude,2023,1006.3981202503873,-0.24866197411339006,-0.16037542544862607,-0.08828654866476467,held_out
latitude,2023,2012.7962405007745,-0.26683170849534593,-0.1885086867548648,-0.07832302174048116,held_out
latitude,2024,125.7997650312984,0.040226922487642154,-0.02022991571124576,0.06045683819888866,held_out
latitude,2024,251.5995300625968,0.026664413704037392,-0.03882897105347111,0.06549338475750821,held_out
latitude,2024,503.1990601251936,0.000943782034089569,-0.07489487230828144,0.07583865434237082,held_out
