lon,lat,candidate_id,era5_land_valid,coordinate_key,original_site_id,is_original_site
111.4,31.2,213,TRUE,"111.400000,31.200000",56,TRUE
111.4,32.1,214,TRUE,"111.400000,32.100000",,FALSE
111.4,33,215,TRUE,"111.400000,33.000000",57,TRUE
111.4,33.9,216,TRUE,"111.400000,33.900000",,FALSE
111.4,34.8,217,TRUE,"111.400000,34.800000",58,TRUE
111.4,35.7,218,TRUE,"111.400000,35.700000",,FALSE
111.4,36.6,219,TRUE,"111.400000,36.600000",59,TRUE
111.4,37.5,220,TRUE,"111.400000,37.500000",,FALSE
111.4,38.4,221,TRUE,"111.400000,38.400000",60,TRUE
111.4,39.3,222,TRUE,"111.400000,39.300000",,FALSE
111.4,40.2,223,TRUE,"111.400000,40.200000",61,TRUE
111.4,41.1,224,TRUE,"111.400000,41.100000",,FALSE
111.4,42,225,TRUE,"111.400000,42.000000",62,TRUE
112.2,20.4,226,FALSE,"112.200000,20.400000",,FALSE
112.2,21.3,227,FALSE,"112.200000,21.300000",,FALSE
112.2,22.2,228,TRUE,"112.200000,22.200000",,FALSE
112.2,23.1,229,TRUE,"112.200000,23.100000",,FALSE
112.2,24,230,TRUE,"112.200000,24.000000",,FALSE
112.2,24.9,231,TRUE,"112.200000,24.900000",,FALSE
112.2,25.8,232,TRUE,"112.200000,25.800000",,FALSE
112.2,26.7,233,TRUE,"112.200000,26.700000",,FALSE
112.2,27.6,234,TRUE,"112.200000,27.600000",,FALSE
112.2,28.5,235,TRUE,"112.200000,28.500000",,FALSE
112.2,29.4,236,TRUE,"112.200000,29.400000",,FALSE
112.2,30.3,237,TRUE,"112.200000,30.300000",,FALSE
112.2,31.2,238,TRUE,"112.200000,31.200000",,FALSE
112.2,32.1,239,TRUE,"112.200000,32.100000",,FALSE
112.2,33,240,TRUE,"112.200000,33.000000",,FALSE
112.2,33.9,241,TRUE,"112.200000,33.900000",,FALSE
112.2,34.8,242,TRUE,"112.200000,34.800000",,FALSE
112.2,35.7,243,TRUE,"112.200000,35.700000",,FALSE
112.2,36.6,244,TRUE,"112.200000,36.600000",,FALSE
112.2,37.5,245,TRUE,"112.200000,37.500000",,FALSE
112.2,38.4,246,TRUE,"112.200000,38.400000",,FALSE
112.2,39.3,247,TRUE,"112.200000,39.300000",,FALSE
112.2,40.2,248,TRUE,"112.200000,40.200000",,FALSE
112.2,41.1,249,TRUE,"112.200000,41.100000",,FALSE
112.2,42,250,TRUE,"112.200000,42.000000",,FALSE
113,20.4,251,FALSE,"113.000000,20.400000",,FALSE
113,21.3,252,FALSE,"113.000000,21.300000",,FALSE
113,22.2,253,TRUE,"113.000000,22.200000",63,TRUE
113,23.1,254,TRUE,"113.000000,23.100000",,FALSE
113,24,255,TRUE,"113.000000,24.000000",64,TRUE
113,24.9,256,TRUE,"113.000000,24.900000",,FALSE
113,25.8,257,TRUE,"113.000000,25.800000",65,TRUE
113,26.7,258,TRUE,"113.000000,26.700000",,FALSE
113,27.6,259,TRUE,"113.000000,27.600000",66,TRUE
113,28.5,260,TRUE,"113.000000,28.500000",,FALSE
113,29.4,261,TRUE,"113.000000,29.400000",67,TRUE
113,30.3,262,TRUE,"113.000000,30.300000",,FALSE
113,31.2,263,TRUE,"113.000000,31.200000",68,TRUE
113,32.1,264,TRUE,"113.000000,32.100000",,FALSE
113,33,265,TRUE,"113.000000,33.000000",69,TRUE
113,33.9,266,TRUE,"113.000000,33.900000",,FALSE
113,34.8,267,TRUE,"113.000000,34.800000",70,TRUE
113,35.7,268,TRUE,"113.000000,35.700000",,FALSE
113,36.6,269,TRUE,"113.000000,36.600000",71,TRUE
113,37.5,270,TRUE,"113.000000,37.500000",,FALSE
113,38.4,271,TRUE,"113.000000,38.400000",72,TRUE
113,39.3,272,TRUE,"113.000000,39.300000",,FALSE
113,40.2,273,TRUE,"113.000000,40.200000",73,TRUE
113,41.1,274,TRUE,"113.000000,41.100000",,FALSE
113,42,275,TRUE,"113.000000,42.000000",74,TRUE
113.8,20.4,276,FALSE,"113.800000,20.400000",,FALSE
