site_id,lon,lat,matched_lon,matched_lat,geopotential_m2_s2,elevation_m
58,111.4,34.8,111.4000015258789,34.79999923706055,5833.569281471264,594.8585175846251
59,111.4,36.6,111.4000015258789,36.599998474121094,12625.004253164912,1287.3921525867563
60,111.4,38.4,111.4000015258789,38.400001525878906,15964.971903051231,1627.974068927843
61,111.4,40.2,111.4000015258789,40.20000076293945,10832.97349003794,1104.6558702551781
62,111.4,42.0,111.4000015258789,42.0,13093.101974923416,1335.124836200274
63,113.0,22.2,113.0,22.200000762939453,1729.175952919235,176.32687542833028
64,113.0,24.0,113.0,24.0,2325.8498729290004,237.1706824378356
65,113.0,25.8,113.0,25.799999237060547,2401.1874890918516,244.85298130267233
66,113.0,27.6,113.0,27.600000381469727,729.6969118254347,74.40837715483215
67,113.0,29.4,113.0,29.399999618530273,189.27507855059594,19.30068663107136
68,113.0,31.2,113.0,31.200000762939453,2845.177173678243,290.12732927944234
69,113.0,33.0,113.0,33.0,1203.8216428769665,122.75564467753684
70,113.0,34.8,113.0,34.79999923706055,1669.9103615377935,170.2834669879922
71,113.0,36.6,113.0,36.599998474121094,9813.40441796738,1000.6887589510568
72,113.0,38.4,113.0,38.400001525878906,12011.253806824901,1224.8070245012213
73,113.0,40.2,113.0,40.20000076293945,12249.320673899507,1249.083088914105
74,113.0,42.0,113.0,42.0,14055.414458710211,1433.2534003671194
75,114.6,24.0,114.5999984741211,24.0,2651.3083747525125,270.3582135339298
76,114.6,25.8,114.5999984741211,25.799999237060547,1815.5630861193022,185.1359114600095
77,114.6,27.6,114.5999984741211,27.600000381469727,2771.8485606130707,282.6498917176682
78,114.6,29.4,114.5999984741211,29.399999618530273,5455.876699108179,556.3445926089113
79,114.6,31.2,114.5999984741211,31.200000762939453,669.4268188951573,68.26253806296313
80,114.6,33.0,114.5999984741211,33.0,429.35094872287664,43.781612347017244
81,114.6,34.8,114.5999984741211,34.79999923706055,715.6338901417039,72.97434803339611
