file,year,month,analysis_role,mean_extreme,mean_moderate,relative_effect,absolute_effect,n_extreme,n_moderate,metric,configuration
200308,2003,8,confirmatory,14.9729700356294,15.8000495286953,-0.0523466392661451,-0.827079493065838,8,15,graph_h_2.000,primary_121_reproduction
200406,2004,6,confirmatory,18.2038480428467,16.0374181089152,0.135085954560678,2.16642993393151,8,14,graph_h_2.000,primary_121_reproduction
200407,2004,7,confirmatory,12.0142045844396,15.9992775869544,-0.249078308745906,-3.9850730025149,8,15,graph_h_2.000,primary_121_reproduction
200408,2004,8,confirmatory,10.9058698638383,15.7570243659891,-0.307872501144428,-4.85115450215076,8,15,graph_h_2.000,primary_121_reproduction
200506,2005,6,confirmatory,18.0681289571284,20.3907197572136,-0.113904306848389,-2.32259080008517,8,14,graph_h_2.000,primary_121_reproduction
200507,2005,7,confirmatory,10.3968586900918,14.0779999005332,-0.261481832394528,-3.68114121044141,8,15,graph_h_2.000,primary_121_reproduction
200508,2005,8,confirmatory,11.9186685462439,14.2640159015513,-0.164424056415435,-2.34534735530732,8,15,graph_h_2.000,primary_121_reproduction
200606,2006,6,confirmatory,18.2283251300431,18.9454610684419,-0.0378526516619536,-0.717135938398837,8,14,graph_h_2.000,primary_121_reproduction
200607,2006,7,confirmatory,12.0804638675488,13.6561072347681,-0.115380125546155,-1.57564336721929,8,15,graph_h_2.000,primary_121_reproduction
200608,2006,8,confirmatory,9.25342274706241,13.8704883552899,-0.332869722389166,-4.61706560822752,8,15,graph_h_2.000,primary_121_reproduction
200706,2007,6,confirmatory,17.521132202098,17.796100096749,-0.0154510197827694,-0.274967894651013,8,14,graph_h_2.000,primary_121_reproduction
200707,2007,7,confirmatory,11.8063675401351,14.4372653125333,-0.182229647751522,-2.63089777239822,8,15,graph_h_2.000,primary_121_reproduction
200708,2007,8,confirmatory,13.5221128817948,16.7358572466847,-0.192027472361866,-3.21374436488987,8,15,graph_h_2.000,primary_121_reproduction
