configuration,analysis_role,year,metric,yearly_relative_effect,months
dense_465_fixed_labels,confirmatory,2025,graph_h_1.000,-0.230462975302006,3
dense_465_fixed_labels,confirmatory,1991,graph_h_2.000,0.00335135166982788,3
dense_465_fixed_labels,confirmatory,1992,graph_h_2.000,-0.075705368879721,3
dense_465_fixed_labels,confirmatory,1993,graph_h_2.000,-0.0791109604974294,3
dense_465_fixed_labels,confirmatory,1994,graph_h_2.000,-0.0898643904896421,3
dense_465_fixed_labels,confirmatory,1995,graph_h_2.000,-0.128364472916634,3
dense_465_fixed_labels,confirmatory,1996,graph_h_2.000,-0.166187607184738,3
dense_465_fixed_labels,confirmatory,1997,graph_h_2.000,-0.194041526411604,3
dense_465_fixed_labels,confirmatory,1998,graph_h_2.000,-0.0646660372469986,3
dense_465_fixed_labels,confirmatory,1999,graph_h_2.000,-0.222574207637408,3
dense_465_fixed_labels,confirmatory,2000,graph_h_2.000,-0.258144029553375,3
dense_465_fixed_labels,confirmatory,2001,graph_h_2.000,-0.156297398373004,3
dense_465_fixed_labels,confirmatory,2002,graph_h_2.000,0.00904183103271709,3
dense_465_fixed_labels,confirmatory,2003,graph_h_2.000,-0.116949159152854,3
dense_465_fixed_labels,confirmatory,2004,graph_h_2.000,-0.155042068892093,3
dense_465_fixed_labels,confirmatory,2005,graph_h_2.000,-0.18644195983269,3
dense_465_fixed_labels,confirmatory,2006,graph_h_2.000,-0.169329342845634,3
dense_465_fixed_labels,confirmatory,2007,graph_h_2.000,-0.12564230917652,3
dense_465_fixed_labels,confirmatory,2008,graph_h_2.000,-0.107594585591067,3
dense_465_fixed_labels,confirmatory,2009,graph_h_2.000,-0.178327995872736,3
dense_465_fixed_labels,confirmatory,2010,graph_h_2.000,-0.133849346981513,3
dense_465_fixed_labels,confirmatory,2011,graph_h_2.000,-0.148668708594714,3
dense_465_fixed_labels,confirmatory,2012,graph_h_2.000,-0.36871565781559,3
dense_465_fixed_labels,confirmatory,2013,graph_h_2.000,-0.112678921426548,3
dense_465_fixed_labels,confirmatory,2014,graph_h_2.000,-0.0134191872051092,3
dense_465_fixed_labels,discovery,2015,graph_h_2.000,-0.299436534367307,3
dense_465_fixed_labels,confirmatory,2016,graph_h_2.000,-0.0177629697069099,3
dense_465_fixed_labels,confirmatory,2017,graph_h_2.000,-0.125444415692561,3
dense_465_fixed_labels,confirmatory,2018,graph_h_2.000,-0.229473652689676,3
dense_465_fixed_labels,confirmatory,2019,graph_h_2.000,-0.1490570557938,3
dense_465_fixed_labels,confirmatory,2020,graph_h_2.000,-0.113322870345969,3
