file,date,n_sites,wbt_mean,spatial_variance,lambda_weighted,graph_h_0.125,graph_h_0.250,graph_h_0.500,graph_h_1.000,graph_h_2.000
era5_201507_consistent.csv,2015-07-09,121,19.6483463902123,9.84547215697885,3.33753471751723,1.89889819973217,2.93595989646334,4.77168393148485,7.5155023747261,9.19716482392511
era5_201507_consistent.csv,2015-07-10,121,20.5978942888033,11.3794983963893,4.07075269168695,1.94546603267588,3.09585608190885,5.71368481111771,9.10843075620791,10.8087539784224
era5_201507_consistent.csv,2015-07-11,121,21.3793704371067,12.288073889959,4.89834841091771,2.26226615982956,3.77269123093644,6.69631995142941,9.90573061619088,11.6476557825045
era5_201507_consistent.csv,2015-07-12,121,21.9618314799568,17.0641312447142,6.18059069942509,2.71605481702695,4.53261260414835,8.26253234276886,13.1619855236166,15.9853028790562
era5_201507_consistent.csv,2015-07-13,121,22.013916205966,25.5706761948826,10.0504100905661,3.23544806023654,5.66905950872172,11.4794221511869,19.314564270057,23.8281147778501
era5_201507_consistent.csv,2015-07-14,121,22.2125829978331,23.8175417609806,9.87253699393439,2.92120044554316,5.18325397999397,10.6749234589724,18.0016709765403,22.2055751927543
era5_201507_consistent.csv,2015-07-15,121,21.1959419550978,23.3574625745525,8.6757488396372,3.09107144054397,5.33522198593983,10.4247940589311,17.5765613592108,21.7523852425987
era5_201507_consistent.csv,2015-07-16,121,20.496761679337,19.2367631511194,6.29505227234074,2.74997375702701,4.61671838130807,8.37060715670043,14.1247806364165,17.770958246331
era5_201507_consistent.csv,2015-07-17,121,20.7756623374743,15.5743732345175,5.4655780529757,2.61556028440271,4.30763674139288,7.42918015992693,11.7155349940201,14.4503350853742
era5_201507_consistent.csv,2015-07-18,121,21.275765791425,14.3885186341972,5.34463660154833,2.5283773018972,4.10800798556109,6.99026422268509,10.8993001008035,13.3781004509895
era5_201507_consistent.csv,2015-07-19,121,21.6681222574575,13.9490363066247,5.14388172077537,2.41833602180706,3.94367054349495,6.77443375024854,10.6274504155804,13.0017875545507
era5_201507_consistent.csv,2015-07-20,121,22.1584504735071,12.9693534740393,4.87721483794426,2.23107148115755,3.73580836901992,6.48039142210946,10.0486783726717,12.1572999920745
era5_201507_consistent.csv,2015-07-21,121,22.6234360212646,11.4992372093482,4.6045221633271,2.13470932589649,3.43480498028174,5.92310618153112,9.1404486160191,10.8796830838707
era5_201507_consistent.csv,2015-07-22,121,22.5030783787693,14.927092449208,5.84407255431376,2.69652754236603,4.40915469630174,7.84294438896255,11.9936469820275,14.1655269357457
era5_201507_consistent.csv,2015-07-23,121,21.7903591664566,18.6365288263514,7.48353831406306,3.43154222302135,5.72364523323274,10.0567903643314,15.1021119188321,17.7250892671107
era5_201507_consistent.csv,2015-07-24,121,21.5472048681171,18.091630139152,7.21060550529867,3.24379379168972,5.35440077974804,9.61777678546636,14.7121555813323,17.2472293641776
era5_201507_consistent.csv,2015-07-25,121,21.9255616966226,16.2430157074141,6.29160816916727,3.39906257632981,5.50807426417349,9.52129377706662,13.7679131861534,15.6736608831193
era5_201507_consistent.csv,2015-07-26,121,22.2002452424729,16.447143901378,6.25611348930202,3.5645473566807,5.64694448277672,9.46023515669459,13.7039418441358,15.7714515958859
era5_201507_consistent.csv,2015-07-27,121,22.7611406998447,10.9852872014766,4.11365262936083,2.55807724392918,3.8701273564723,6.40826525780509,9.23725239697395,10.5627189522171
era5_201507_consistent.csv,2015-07-28,121,22.8778970435508,9.66423738484997,3.68031229157946,2.22962574164987,3.40427515438106,5.83264791113323,8.35224723357349,9.38325661204932
era5_201507_consistent.csv,2015-07-29,121,22.9038274206701,11.2768604258398,4.65448548139407,2.41872637500614,3.8193598148483,6.64489746066147,9.57073292232483,10.8780641504368
era5_201507_consistent.csv,2015-07-30,121,22.5532365088269,12.0830709334024,5.14784673290313,2.26825663858299,3.89207205557208,7.15319343060905,10.2645411612449,11.6467396028599
era5_201507_consistent.csv,2015-07-31,121,22.5057877631994,10.6117004429048,3.97660094628629,1.98006587561803,3.32568540526822,6.13438954091083,8.94436520359303,10.2037744690732
era5_201508_consistent.csv,2015-08-01,121,22.9980720755185,8.60034984476997,3.08663976497798,2.0712901314799,3.22933263249824,5.50348906039584,7.56624757110482,8.37918788398232
era5_201508_consistent.csv,2015-08-02,121,22.5869183354169,14.9563806504465,6.93920794321743,3.12837224432922,5.15340393480362,8.85015604893064,12.5039325505358,14.3215548870138
era5_201508_consistent.csv,2015-08-03,121,21.6996427982735,21.4317438110994,9.56472942075975,4.08775686963741,6.92282607461276,12.5000857743761,17.9860554251071,20.5789316250587
era5_201508_consistent.csv,2015-08-04,121,21.3076533228064,19.8205292292565,7.48623043260254,3.70429436698094,5.70669136058129,10.3120874075382,16.1101239130844,18.911220449487
era5_201508_consistent.csv,2015-08-05,121,21.348460321366,18.0766398170194,7.55872620549631,3.0782362722227,4.92754785981111,9.13491012563109,14.4412054866458,17.1447374637095
era5_201508_consistent.csv,2015-08-06,121,21.5348682143037,19.5364338330794,8.12137930661737,3.24884007002827,5.26943626458797,9.94784873992321,15.6280041686662,18.5280224926905
era5_201508_consistent.csv,2015-08-07,121,22.0386184109755,17.5042146152702,7.41947033393687,2.68659562555725,4.4049257408919,8.21196486976317,13.381967323334,16.3679492303651
era5_201508_consistent.csv,2015-08-08,121,22.0559938765628,16.4491636486338,6.27584391128541,2.79886813603903,4.68336075834897,8.43203486217354,12.9207089294305,15.4673072632137
era5_201508_consistent.csv,2015-08-09,121,21.8210877965326,16.0186296397155,6.03675918706735,3.43916165350658,5.52989957908973,9.08981902271961,12.9170075001088,15.1375172546196
era5_201508_consistent.csv,2015-08-10,121,21.8109405505685,12.9669949518618,5.15216087986631,2.95100619071491,4.43336438818315,6.77734977024345,9.87752725604818,12.0287043430985
era5_201508_consistent.csv,2015-08-11,121,21.9215500904786,12.5424672196164,5.03050773684137,2.96361457486483,4.37472688601554,6.43598404459815,9.37956809302199,11.5590716223498
era5_201508_consistent.csv,2015-08-12,121,22.0178359454233,11.4711382822541,4.32512568641336,2.58532384935539,3.7131405110101,5.54865584216344,8.40264682093112,10.5257589470295
era5_201508_consistent.csv,2015-08-13,121,21.6854954931326,16.0715298744325,6.67374481819569,2.99529522463213,4.62744176736593,7.7049668210232,12.0832074683753,14.9203433562451
era5_201508_consistent.csv,2015-08-14,121,21.4288721957469,22.1069740348454,8.80923136566308,3.13249315774159,5.24148507224386,10.0524042411256,16.6934997129096,20.6006773111498
