year,method,outcome,subset,mae,offset
2002,variogram,A,all,0.008380899310304491,0
2002,variogram,A,high,0.008561954054662481,0
2002,variogram,A_new344,all,0.010430597788839426,0
2002,variogram,A_new344,high,0.010613101545171214,0
2002,variogram,C,all,0.014088829420791208,0
2002,variogram,C,high,0.01363132552191813,0
2003,graph,A,all,0.008659522621924319,0
2003,graph,A,high,0.007846860192728348,0
2003,graph,A_new344,all,0.01075948679072614,0
2003,graph,A_new344,high,0.009768989258261043,0
2003,graph,C,all,0.014398852581477975,0
2003,graph,C,high,0.012476337869618038,0
2003,interpolation,A,all,0.014134265508532405,0
2003,interpolation,A,high,0.014152263555267325,0
2003,interpolation,A_new344,all,0.0188114501893697,0
2003,interpolation,A_new344,high,0.018835403988699102,0
2003,interpolation,C,all,0.019390254500860293,0
2003,interpolation,C,high,0.018588170371992143,0
2003,mean,A,all,0.02726131294127226,0
2003,mean,A,high,0.01781685184148687,0
2003,mean,A_new344,all,0.027613653879514286,0
2003,mean,A_new344,high,0.018293091331734755,0
2003,mean,C,all,0.030126424254151248,0
2003,mean,C,high,0.02118036260972227,0
2003,simple,A,all,0.008643147505560191,0
2003,simple,A,high,0.007854568438518289,0
2003,simple,A_new344,all,0.010731962991863847,0
2003,simple,A_new344,high,0.00976825577690394,0
2003,simple,C,all,0.01451562932323108,0
2003,simple,C,high,0.012413728425210503,0
2003,variogram,A,all,0.008662611253350251,0
2003,variogram,A,high,0.007951376746419199,0
2003,variogram,A_new344,all,0.010743671732527299,0
2003,variogram,A_new344,high,0.009875755743286467,0
2003,variogram,C,all,0.014362553597197394,0
2003,variogram,C,high,0.012597233536290199,0
2004,graph,A,all,0.008541830485240256,0
2004,graph,A,high,0.007556036069743379,0
2004,graph,A_new344,all,0.010541037818983384,0
2004,graph,A_new344,high,0.009384185321760406,0
2004,graph,C,all,0.01450735591060727,0
2004,graph,C,high,0.013090437397667035,0
2004,interpolation,A,all,0.013562557667141007,0
2004,interpolation,A,high,0.014059731872846122,0
2004,interpolation,A_new344,all,0.0180505579042549,0
2004,interpolation,A_new344,high,0.018712252549824948,0
2004,interpolation,C,all,0.01766854844493524,0
2004,interpolation,C,high,0.018210079359065653,0
2004,mean,A,all,0.027084930984709966,0
2004,mean,A,high,0.022876637864280434,0
2004,mean,A_new344,all,0.027240863185646447,0
2004,mean,A_new344,high,0.023139349652544182,0
2004,mean,C,all,0.02959432509196638,0
2004,mean,C,high,0.026464439695575867,0
2004,simple,A,all,0.008614940634975995,0
2004,simple,A,high,0.0075225642012552085,0
2004,simple,A_new344,all,0.010606967766222056,0
2004,simple,A_new344,high,0.009364089663114025,0
2004,simple,C,all,0.014728451128541481,0
2004,simple,C,high,0.012944326439079053,0
2004,variogram,A,all,0.008646235172575359,0
2004,variogram,A,high,0.0076524776731212605,0
2004,variogram,A_new344,all,0.010645664168587502,0
2004,variogram,A_new344,high,0.009492697899315033,0
2004,variogram,C,all,0.01461488059785069,0
2004,variogram,C,high,0.013390950674299242,0
2005,graph,A,all,0.007798225729692545,0
2005,graph,A,high,0.006782063985120457,0
2005,graph,A_new344,all,0.009793578252671844,0
2005,graph,A_new344,high,0.008401503814975194,0
2005,graph,C,all,0.013854072405603981,0
2005,graph,C,high,0.012376102002491703,0
2005,interpolation,A,all,0.013740333349466262,0
2005,interpolation,A,high,0.014076739026695618,0
2005,interpolation,A_new344,all,0.018287161524791398,0
2005,interpolation,A_new344,high,0.018734887558860946,0
2005,interpolation,C,all,0.01857790794473566,0
2005,interpolation,C,high,0.019278988604071668,0
2005,mean,A,all,0.024930161644201768,0
2005,mean,A,high,0.020084607843971383,0
2005,mean,A_new344,all,0.025300164414017504,0
2005,mean,A_new344,high,0.02055929779236531,0
2005,mean,C,all,0.027954620743691316,0
2005,mean,C,high,0.02329691972504343,0
2005,simple,A,all,0.007897972362131054,0
2005,simple,A,high,0.006834973274942033,0
2005,simple,A_new344,all,0.009906781157648014,0
2005,simple,A_new344,high,0.008504879727514344,0
2005,simple,C,all,0.013993675761241732,0
2005,simple,C,high,0.012278706487990095,0
2005,variogram,A,all,0.007739998571510268,0
2005,variogram,A,high,0.006912618470569092,0
2005,variogram,A_new344,all,0.009722382272572182,0
2005,variogram,A_new344,high,0.008563597412647292,0
2005,variogram,C,all,0.013548508139773307,0
2005,variogram,C,high,0.012221424530833087,0
2006,graph,A,all,0.008117487122898,0
2006,graph,A,high,0.007125782669972742,0
2006,graph,A_new344,all,0.01006943569839219,0
2006,graph,A_new344,high,0.008878843649907993,0
2006,graph,C,all,0.013494952097150131,0
2006,graph,C,high,0.012027958154454321,0
2006,interpolation,A,all,0.013288881765703761,0
2006,interpolation,A,high,0.01355657393777311,0
2006,interpolation,A_new344,all,0.017686319622130537,0
2006,interpolation,A_new344,high,0.018042594092701855,0
2006,interpolation,C,all,0.01742389346970314,0
2006,interpolation,C,high,0.01686413392925673,0
