dense_site_id,lon,lat,original_site_id,is_original_site,row,col,land_area_km2,cell_area_km2,land_fraction,weight,coslat_weight
69,106.6,36.6,23.0,True,18,2,7148.898803057678,7148.898803057678,1.0,0.002219507645572858,0.0020577882143593177
70,106.6,37.5,,False,19,2,7066.050082671509,7066.050082671509,1.0,0.0021937857304375674,0.0020335296676062807
71,106.6,38.4,24.0,True,20,2,6981.435870740478,6981.435870740478,1.0,0.00216751568585046,0.00200876937783612
72,106.6,39.3,,False,21,2,6895.074506255798,6895.074506255798,1.0,0.002140703205490007,0.0019835134542798396
73,106.6,40.2,25.0,True,22,2,6806.984812172058,6806.984812172058,1.0,0.002113354133290046,0.001957768128458664
74,106.6,41.1,,False,23,2,6717.1860963112185,6717.1860963112185,1.0,0.002085474463720446,0.0019315397526465054
75,106.6,42.0,26.0,True,24,2,3324.389859362854,3324.389859362854,1.0,0.0010321182203005656,0.0019048347983026304
76,107.4,22.2,,False,2,3,8221.257918591522,8221.257918591522,1.0,0.002552441335263515,0.0023731989353998843
77,107.4,23.1,,False,3,3,8168.762757271454,8168.762757271454,1.0,0.0025361432430516576,0.002357693865660339
78,107.4,24.0,,False,4,3,8114.273037817261,8114.273037817261,1.0,0.0025192259034353837,0.0023416070702383727
79,107.4,24.9,,False,5,3,8057.799622879181,8057.799622879181,1.0,0.00250169268892505,0.0023249425183100437
80,107.4,25.8,,False,6,3,7999.353822889527,7999.353822889527,1.0,0.002483547111053228,0.0023077043216041832
81,107.4,26.7,,False,7,3,7938.947398982178,7938.947398982178,1.0,0.002464792821281112,0.002289896733387888
82,107.4,27.6,,False,8,3,7876.592565884155,7876.592565884155,1.0,0.0024454336118962645,0.00227152414741709
83,107.4,28.5,,False,9,3,7812.301994771332,7812.301994771332,1.0,0.0024254734168992218,0.0022525910968524618
84,107.4,29.4,,False,10,3,7746.088816070434,7746.088816070434,1.0,0.0024049163128734286,0.00223310225314093
85,107.4,30.3,,False,11,3,7677.966622197205,7677.966622197205,1.0,0.0023837665198353513,0.002213062424863061
86,107.4,31.2,,False,12,3,7607.949470217224,7607.949470217224,1.0,0.002362028402060578,0.0021924765565466218
87,107.4,32.1,,False,13,3,7536.051884413391,7536.051884413391,1.0,0.0023397064688809414,0.002171349727446585
88,107.4,33.0,,False,14,3,7462.288858749634,7462.288858749634,1.0,0.0023168053754494223,0.0021496871502919043
89,107.4,33.9,,False,15,3,7386.6758592148435,7386.6758592148435,1.0,0.002293329923467869,0.002127494169999349
90,107.4,34.8,,False,16,3,7309.228826034668,7309.228826034668,1.0,0.0022692850618736874,0.0021047762623547244
91,107.4,35.7,,False,17,3,7229.964175737061,7229.964175737061,1.0,0.002244675887481129,0.0020815390326618067
92,107.4,36.6,,False,18,3,7148.898803057678,7148.898803057678,1.0,0.002219507645572858,0.0020577882143593177
93,107.4,37.5,,False,19,3,7066.050082671509,7066.050082671509,1.0,0.0021937857304375674,0.0020335296676062807
94,107.4,38.4,,False,20,3,6981.435870740478,6981.435870740478,1.0,0.00216751568585046,0.00200876937783612
95,107.4,39.3,,False,21,3,6895.074506255798,6895.074506255798,1.0,0.002140703205490007,0.0019835134542798396
96,107.4,40.2,,False,22,3,6806.984812172058,6806.984812172058,1.0,0.002113354133290046,0.001957768128458664
97,107.4,41.1,,False,23,3,6717.1860963112185,6717.1860963112185,1.0,0.002085474463720446,0.0019315397526465054
98,107.4,42.0,,False,24,3,3324.389859362854,3324.389859362854,1.0,0.0010321182203005656,0.0019048347983026304
99,108.2,22.2,27.0,True,2,4,8221.257918591522,8221.257918591522,1.0,0.002552441335263515,0.0023731989353998843
100,108.2,23.1,,False,3,4,8168.762757271454,8168.762757271454,1.0,0.0025361432430516576,0.002357693865660339
101,108.2,24.0,28.0,True,4,4,8114.273037817261,8114.273037817261,1.0,0.0025192259034353837,0.0023416070702383727
102,108.2,24.9,,False,5,4,8057.799622879181,8057.799622879181,1.0,0.00250169268892505,0.0023249425183100437
103,108.2,25.8,29.0,True,6,4,7999.353822889527,7999.353822889527,1.0,0.002483547111053228,0.0023077043216041832
