year,method,threshold_c,mae,bias,outcome,subset
1991,simple,18.0,0.010877048259147789,-0.001630185233819805,A,all
1991,simple,18.25,0.011618092703919348,-0.0022547889517751146,A,all
1991,simple,18.5,0.011081829191468107,-0.0002641889651955176,A,all
1991,simple,18.75,0.012290840659015359,-0.0006492950868336653,A,all
1991,simple,19.0,0.01136051676155411,-0.001201862826370404,A,all
1991,simple,19.25,0.01154926662455124,-0.0004900046873711093,A,all
1991,simple,19.5,0.012228210378287259,-0.0005419868085028654,A,all
1991,simple,19.75,0.011720236716512011,0.0007175660375881291,A,all
1991,simple,20.0,0.010905117939119621,-0.0002528512719072611,A,all
1991,simple,20.25,0.01130230032086635,0.0005776348290554265,A,all
1991,simple,20.5,0.01292157407670229,1.599247565569153e-05,A,all
1991,simple,20.75,0.01198761801175507,0.00018323098203679029,A,all
1991,simple,21.0,0.01143069228250746,0.0004422181996003793,A,all
1991,simple,21.25,0.0118180552296447,0.00017162125808878296,A,all
1991,simple,21.5,0.013469265675146223,-0.0012672461109918768,A,all
1991,simple,21.75,0.014081947688905685,-0.0023422334851489566,A,all
1991,simple,22.0,0.014792793544782058,-0.002634504141828741,A,all
1991,simple,22.25,0.014338739585556851,-0.0026250083475934916,A,all
1991,simple,22.5,0.013460441240604254,-0.0011297445779893062,A,all
1991,simple,22.75,0.0140006967105671,0.0003418671407539725,A,all
1991,simple,23.0,0.011786011779491165,-0.0004989615960245787,A,all
1991,simple,23.25,0.011467741330159027,-0.001176401567427112,A,all
1991,simple,23.5,0.013009781999341566,0.00021929672000688244,A,all
1991,simple,23.75,0.013855825126578352,0.005033930500330841,A,all
1991,simple,24.0,0.014251385670195809,0.0022258209966376373,A,all
1991,simple,24.25,0.015089938914770023,0.0027967989832295933,A,all
1991,simple,24.5,0.015706501322261573,0.002694189983825212,A,all
1991,simple,24.75,0.01430448539297352,0.002959653326577676,A,all
1991,simple,25.0,0.01355310265707046,0.004399506897479887,A,all
1991,simple,25.25,0.013983504794863507,0.00502010006646254,A,all
1991,simple,25.5,0.014674819168625501,0.007761267931541547,A,all
1991,simple,25.75,0.014713647438614903,0.006290164550823944,A,all
1991,simple,26.0,0.013469407988249865,0.0038232841915446345,A,all
1991,simple,26.25,0.0121576683661285,0.0037346940626672327,A,all
1991,simple,26.5,0.010363056531622792,0.004528773865861904,A,all
1991,simple,26.75,0.010183675996539784,0.004098321338716097,A,all
1991,simple,27.0,0.007541514938255373,0.0041160015073614204,A,all
1991,simple,27.25,0.007116817349645557,0.0030053292633065707,A,all
1991,simple,27.5,0.0048674052448479796,0.002636059354718926,A,all
1991,simple,27.75,0.004788605384396594,0.002571923975052181,A,all
1991,simple,28.0,0.003871557225277296,0.0010702275742141688,A,all
1991,simple,28.25,0.0024116138530799226,0.0009071251521028603,A,all
1991,simple,28.5,0.0017181590837504201,0.0007421505640391717,A,all
1991,variogram,9.5,0.0012134103721431826,-0.0003988581835695459,A,all
1991,variogram,9.75,0.0012211981900381046,-0.00040925053819170805,A,all
1991,variogram,10.0,0.0014888464168538293,-0.0002852486409821528,A,all
1991,variogram,10.25,0.0017441544142012162,-0.0003119561765660829,A,all
1991,variogram,10.5,0.001725817015550529,-0.0004363810039049369,A,all
1991,variogram,10.75,0.0019500259460023663,-0.0006653842112294925,A,all
1991,variogram,11.0,0.0020149601357363125,-0.0003178868372914914,A,all
1991,variogram,11.25,0.002071567960567669,0.00018429859736347734,A,all
1991,variogram,11.5,0.002461080112838268,0.0005134974074101314,A,all
1991,variogram,11.75,0.002463475157717721,0.0007878315660821613,A,all
1991,variogram,12.0,0.00275415769794765,0.00033796669984581204,A,all
1991,variogram,12.25,0.0036851357691997442,0.00023247701312524897,A,all
1991,variogram,12.5,0.004556271311837276,0.0005934170335902897,A,all
1991,variogram,12.75,0.0053570215521196235,0.001024940638016965,A,all
1991,variogram,13.0,0.005407956470316807,0.0011737662130915489,A,all
1991,variogram,13.25,0.005388317731805525,0.0012067407239800812,A,all
1991,variogram,13.5,0.005497351099801439,0.0023669036405215417,A,all
