year,method,outcome,subset,mae,bias,outer_fold
1998,interpolation,C,high,0.0194553660837079,0.013985652651016948,2
1998,mean,A,all,0.027658471942868107,-8.979022440197117e-05,2
1998,mean,A,high,0.023624237752717155,-0.0016337829119634076,2
1998,mean,A_new344,all,0.027855896181471204,2.1210285378722324e-05,2
1998,mean,A_new344,high,0.023711950402390578,-0.0014890267723538107,2
1998,mean,C,all,0.030721463762641565,-0.0007192119136378258,2
1998,mean,C,high,0.026206712023763443,-0.0025816768046589087,2
1998,simple,A,all,0.0078027014477793704,-2.115725583554374e-06,2
1998,simple,A,high,0.007232024846890605,-0.00015606766754123807,2
1998,simple,A_new344,all,0.009676210873546517,0.00012180614021806374,2
1998,simple,A_new344,high,0.008932997435833765,2.9571065657485293e-05,2
1998,simple,C,all,0.013189297659869072,-0.00030637535825724793,2
1998,simple,C,high,0.01223474129254255,-0.0007647480687234244,2
1998,variogram,A,all,0.007637078536148248,-0.00011608268565594565,2
1998,variogram,A,high,0.007072926037927229,4.729056922756199e-06,2
1998,variogram,A_new344,all,0.009491409161065641,5.556008125543537e-05,2
1998,variogram,A_new344,high,0.008774671188410178,0.00023777164131981598,2
1998,variogram,C,all,0.012953965539434564,-0.000383164280085619,2
1998,variogram,C,high,0.01205482272644363,-0.0002627964393768635,2
1999,graph,A,all,0.008228480950463284,-0.0013521031470766262,2
1999,graph,A,high,0.0071718407818945566,-0.0022906755397139964,2
1999,graph,A_new344,all,0.010233521935637778,-0.0015415315249160911,2
1999,graph,A_new344,high,0.008853412289111457,-0.002678002296768269,2
1999,graph,C,all,0.013448592640282314,-0.0008657402014926699,2
1999,graph,C,high,0.01218603345540275,-0.0016439804847881332,2
1999,interpolation,A,all,0.01303290254185118,0.004936559916629278,2
1999,interpolation,A,high,0.013624069425528388,0.004083798039425251,2
1999,interpolation,A_new344,all,0.017345634043802495,0.006570122156149612,2
1999,interpolation,A_new344,high,0.01813242458337355,0.005435171948320768,2
1999,interpolation,C,all,0.016845337496553193,0.01273117457772009,2
1999,interpolation,C,high,0.017055879065821903,0.011900087600547215,2
1999,mean,A,all,0.03335985463913781,0.0026093477916333194,2
1999,mean,A,high,0.029242326501350183,0.004255182384232685,2
1999,mean,A_new344,all,0.033508303565170726,0.0023889789954425907,2
1999,mean,A_new344,high,0.029349402671775163,0.003921029260944594,2
1999,mean,C,all,0.0364801790748419,0.003053801671700444,2
1999,mean,C,high,0.03213278215163634,0.004605962225468503,2
1999,simple,A,all,0.008288513630000823,-0.0014468629173391234,2
1999,simple,A,high,0.007387454293972902,-0.002623604254074985,2
1999,simple,A_new344,all,0.010315959446671795,-0.0016612531562157956,2
1999,simple,A_new344,high,0.009103022848432991,-0.0029704269886747406,2
1999,simple,C,all,0.01346721100458508,-0.0010169617125511867,2
1999,simple,C,high,0.012427819100634296,-0.0023987819987739425,2
1999,variogram,A,all,0.008070296334762209,-0.0013085228581918237,2
1999,variogram,A,high,0.0070831492375821115,-0.002297262843164844,2
1999,variogram,A_new344,all,0.010067954932217559,-0.0015486221028919347,2
1999,variogram,A_new344,high,0.008764119638536731,-0.0027200653679207414,2
1999,variogram,C,all,0.013336746139956017,-0.0007569074459984264,2
1999,variogram,C,high,0.012098714925504751,-0.0018430780559959667,2
2000,graph,A,all,0.008312444015024848,0.0002889835043939122,2
2000,graph,A,high,0.007487493800871946,2.0019081862679422e-05,2
2000,graph,A_new344,all,0.010331324493800734,0.000543705973124818,2
2000,graph,A_new344,high,0.009297726911750867,0.00021156316276876202,2
2000,graph,C,all,0.013660808309020795,0.0010284874487670884,2
2000,graph,C,high,0.01243078452302876,0.00025001061554895745,2
2000,interpolation,A,all,0.014190331281166793,0.006472377518393418,2
2000,interpolation,A,high,0.013781466368487384,0.006200962252120732,2
2000,interpolation,A_new344,all,0.018886068745855956,0.008614158777515108,2
2000,interpolation,A_new344,high,0.01834190591444412,0.008252929199717745,2
2000,interpolation,C,all,0.018900252893387336,0.015108960514497073,2
2000,interpolation,C,high,0.018728541312677288,0.014528197868489728,2
2000,mean,A,all,0.02816636198539973,0.0024582498141609943,2
2000,mean,A,high,0.02233591795971564,0.002207408502411407,2
2000,mean,A_new344,all,0.028478262365462827,0.0027044266498197876,2
2000,mean,A_new344,high,0.022540659183727607,0.002540455287802547,2
2000,mean,C,all,0.03066732784404639,0.002899847536736805,2
2000,mean,C,high,0.02507743745235707,0.001780867275964969,2
2000,simple,A,all,0.00838466872189095,0.00027133691943301595,2
2000,simple,A,high,0.007512507820350712,-0.0002552094404537486,2
2000,simple,A_new344,all,0.010437185053370534,0.0005683188649309293,2
2000,simple,A_new344,high,0.009314987110700041,-1.2296657772574815e-05,2
2000,simple,C,all,0.013596078187267538,0.000882589934602543,2
2000,simple,C,high,0.012449973191859868,-0.0004728891242467465,2
2000,variogram,A,all,0.008223906411963312,0.0002389658699222221,2
2000,variogram,A,high,0.007459371255786617,-0.00010037094612288826,2
2000,variogram,A_new344,all,0.010234699476403764,0.0005546961545491441,2
2000,variogram,A_new344,high,0.009325680697180695,0.0001537044583166001,2
2000,variogram,C,all,0.013469233032921761,0.0009589011912186494,2
2000,variogram,C,high,0.012358147983915558,0.0004620459150860287,2
2001,graph,A,all,0.008386328416223256,-0.0002799655210501727,3
2001,graph,A,high,0.007687212281007355,-9.030472032027193e-05,3
2001,graph,A_new344,all,0.010472161456792493,-0.0004081582533563688,3
2001,graph,A_new344,high,0.00948685967943004,-0.00023530726869723536,3
2001,graph,C,all,0.014333625128623323,-0.0011396120021143381,3
2001,graph,C,high,0.012494940884124598,-0.0014772340403940327,3
2001,interpolation,A,all,0.013675562253123693,0.005779720777635084,3
2001,interpolation,A,high,0.013979376614513294,0.006087682490270635,3
2001,interpolation,A_new344,all,0.018200956956763176,0.00769229426540156,3
2001,interpolation,A_new344,high,0.018605306848354326,0.00810216391260605,3
2001,interpolation,C,all,0.01730493180229346,0.0125393889858391,3
2001,interpolation,C,high,0.018164764643401467,0.013104590503949833,3
2001,mean,A,all,0.030672316368955285,0.0007200673333921219,3
2001,mean,A,high,0.02480213765925909,-0.0007462187990696197,3
2001,mean,A_new344,all,0.031001497028473376,0.0006273897066037817,3
2001,mean,A_new344,high,0.025204197949475777,-0.0007728303333972613,3
2001,mean,C,all,0.03371933643813196,-0.00038172407411024724,3
2001,mean,C,high,0.02716810430061378,-0.0025279014418764733,3
2001,simple,A,all,0.008386690249675484,-0.00042804759942131096,3
2001,simple,A,high,0.007781871513807127,-0.00022179867302285795,3
2001,simple,A_new344,all,0.010479841832099688,-0.0005233502621156792,3
2001,simple,A_new344,high,0.0096167978740986,-0.0003350158196871099,3
2001,simple,C,all,0.014368286415860002,-0.001531383039153187,3
2001,simple,C,high,0.012702128557471729,-0.0017703758217097086,3
2001,variogram,A,all,0.00828514177822991,-0.00024326100291061688,3
2001,variogram,A,high,0.007648520481815911,-0.00014457192517192304,3
2001,variogram,A_new344,all,0.010355745147635395,-0.0003674718857166415,3
2001,variogram,A_new344,high,0.009430123019178857,-0.00027563513386955074,3
2001,variogram,C,all,0.014076612726189302,-0.0011396315233590192,3
2001,variogram,C,high,0.012508340018653114,-0.0015246070069215496,3
2002,graph,A,all,0.008488606689885776,-0.00011619056888619211,3
2002,graph,A,high,0.008604883883185512,7.238235484565717e-05,3
2002,graph,A_new344,all,0.010534332466385386,-2.903571347133563e-05,3
2002,graph,A_new344,high,0.010663081852155634,0.0001791730285837887,3
2002,graph,C,all,0.014202915579590292,-0.0009798028983137926,3
2002,graph,C,high,0.013782270529030033,-0.001277158301683694,3
2002,interpolation,A,all,0.013613770205812973,0.005989343211976603,3
2002,interpolation,A,high,0.014108549782780125,0.006166732719694733,3
2002,interpolation,A_new344,all,0.018118717238018466,0.0079712830801942,3
2002,interpolation,A_new344,high,0.018777224845733655,0.00820737273667773,3
2002,interpolation,C,all,0.01795678272235063,0.0137052816577577,3
2002,interpolation,C,high,0.018873204481863966,0.013950086730778065,3
