i,j,rook
318,297,False
319,341,True
319,320,True
319,342,False
319,298,False
320,342,True
320,321,True
320,343,False
320,299,False
321,343,True
321,322,True
321,344,False
321,300,False
322,344,True
322,323,True
322,345,False
322,301,False
323,345,True
323,324,True
323,346,False
323,302,False
324,346,True
324,325,True
324,347,False
324,303,False
325,347,True
325,326,True
325,348,False
325,304,False
326,348,True
327,328,True
327,349,False
327,306,False
328,349,True
328,329,True
328,350,False
328,307,False
329,350,True
329,330,True
329,351,False
329,308,False
330,351,True
330,331,True
330,352,False
330,309,False
331,352,True
331,332,True
331,353,False
331,310,False
332,353,True
332,333,True
332,354,False
332,311,False
333,354,True
333,334,True
333,355,False
333,312,False
334,355,True
334,335,True
334,356,False
334,313,False
335,356,True
335,336,True
335,357,False
335,314,False
336,357,True
336,337,True
336,358,False
336,315,False
337,358,True
337,338,True
337,359,False
337,316,False
338,359,True
338,339,True
338,360,False
338,317,False
339,360,True
339,340,True
339,361,False
339,318,False
340,361,True
340,341,True
340,362,False
340,319,False
341,362,True
341,342,True
341,363,False
341,320,False
342,363,True
342,343,True
342,364,False
342,321,False
343,364,True
343,344,True
343,365,False
343,322,False
344,365,True
344,345,True
344,366,False
344,323,False
345,366,True
345,346,True
345,367,False
345,324,False
346,367,True
346,347,True
346,368,False
346,325,False
347,368,True
347,348,True
347,369,False
347,326,False
348,369,True
349,350,True
349,370,False
349,329,False
350,370,True
350,351,True
350,371,False
350,330,False
351,371,True
351,352,True
351,372,False
351,331,False
352,372,True
352,353,True
352,373,False
352,332,False
353,373,True
353,354,True
353,374,False
353,333,False
354,374,True
354,355,True
354,375,False
354,334,False
355,375,True
355,356,True
355,376,False
355,335,False
356,376,True
356,357,True
356,377,False
356,336,False
357,377,True
357,358,True
357,378,False
357,337,False
358,378,True
358,359,True
358,379,False
358,338,False
359,379,True
359,360,True
359,380,False
359,339,False
360,380,True
360,361,True
360,381,False
360,340,False
361,381,True
361,362,True
361,382,False
361,341,False
362,382,True
362,363,True
362,383,False
362,342,False
363,383,True
363,364,True
363,384,False
363,343,False
364,384,True
364,365,True
364,344,False
365,366,True
365,385,False
365,345,False
366,385,True
366,367,True
366,386,False
366,346,False
367,386,True
367,368,True
367,387,False
367,347,False
368,387,True
368,369,True
368,388,False
368,348,False
369,388,True
370,389,True
370,371,True
370,390,False
370,351,False
371,390,True
371,372,True
371,391,False
371,352,False
372,391,True
372,373,True
372,392,False
372,353,False
373,392,True
373,374,True
373,393,False
373,354,False
374,393,True
374,375,True
374,394,False
374,355,False
375,394,True
375,376,True
375,395,False
375,356,False
376,395,True
376,377,True
376,396,False
376,357,False
377,396,True
377,378,True
377,397,False
377,358,False
378,397,True
378,379,True
378,398,False
378,359,False
379,398,True
379,380,True
379,399,False
379,360,False
380,399,True
380,381,True
380,400,False
380,361,False
381,400,True
381,382,True
381,401,False
381,362,False
382,401,True
382,383,True
382,402,False
382,363,False
383,402,True
383,384,True
383,403,False
383,364,False
384,403,True
384,365,False
385,404,True
385,386,True
385,405,False
385,367,False
386,405,True
386,387,True
386,406,False
386,368,False
387,406,True
387,388,True
387,407,False
387,369,False
388,407,True
389,390,True
389,408,False
389,371,False
390,408,True
390,391,True
390,409,False
390,372,False
391,409,True
391,392,True
391,410,False
391,373,False
392,410,True
392,393,True
392,411,False
392,374,False
393,411,True
393,394,True
393,412,False
393,375,False
394,412,True
394,395,True
394,413,False
394,376,False
395,413,True
395,396,True
395,414,False
395,377,False
396,414,True
396,397,True
396,415,False
396,378,False
397,415,True
397,398,True
397,416,False
397,379,False
398,416,True
398,399,True
398,417,False
398,380,False
399,417,True
399,400,True
399,381,False
400,401,True
400,418,False
400,382,False
401,418,True
401,402,True
401,419,False
401,383,False
402,419,True
402,403,True
402,384,False
404,405,True
404,420,False
404,386,False
405,420,True
405,406,True
405,421,False
405,387,False
406,421,True
406,407,True
406,422,False
406,388,False
407,422,True
408,409,True
408,391,False
409,410,True
409,424,False
409,392,False
410,424,True
410,411,True
410,425,False
410,393,False
411,425,True
411,412,True
411,426,False
411,394,False
412,426,True
412,413,True
412,427,False
412,395,False
413,427,True
413,414,True
413,428,False
413,396,False
414,428,True
414,415,True
414,429,False
414,397,False
415,429,True
415,416,True
415,430,False
415,398,False
416,430,True
416,417,True
416,431,False
416,399,False
417,431,True
417,400,False
418,419,True
418,432,False
418,402,False
419,432,True
419,433,False
419,403,False
420,434,True
420,421,True
420,435,False
420,406,False
421,435,True
421,422,True
421,436,False
421,407,False
422,436,True
423,437,True
423,438,False
424,425,True
424,439,False
424,411,False
425,439,True
425,426,True
425,440,False
425,412,False
426,440,True
426,427,True
426,413,False
427,428,True
427,441,False
427,414,False
428,441,True
428,429,True
428,442,False
428,415,False
429,442,True
429,430,True
429,416,False
430,431,True
430,417,False
432,433,True
432,443,False
433,443,True
434,435,True
434,444,False
434,421,False
435,444,True
435,436,True
435,445,False
435,422,False
436,445,True
437,438,True
438,446,False
439,440,True
439,447,False
439,426,False
440,447,True
440,427,False
441,448,True
441,442,True
441,429,False
442,430,False
444,450,True
444,445,True
444,451,False
444,436,False
445,451,True
448,442,False
449,452,False
450,453,True
450,451,True
450,454,False
450,445,False
451,454,True
452,455,True
452,453,True
452,456,False
452,450,False
453,456,True
453,454,True
453,457,False
453,451,False
454,457,True
455,458,True
455,456,True
455,459,False
455,453,False
456,459,True
456,457,True
456,460,False
456,454,False
457,460,True
458,462,True
458,459,True
458,463,False
458,456,False
459,463,True
459,460,True
459,464,False
459,457,False
460,464,True
462,463,True
462,459,False
463,464,True
463,460,False
