method,outcome,subset,threshold_c,mae,bias
simple,C,high,15.25,0.006121518086870179,0.0006642487994733292
simple,C,high,15.5,0.0067330387858258985,0.00044294934807989183
simple,C,high,15.75,0.007316287201685388,0.0005143405262655322
simple,C,high,16.0,0.00758640715108516,0.00011091026306438119
simple,C,high,16.25,0.007982120651154175,-6.114131584605812e-05
simple,C,high,16.5,0.008245965192043776,-0.0003169653679123386
simple,C,high,16.75,0.008482756651272844,-0.00032940711073179975
simple,C,high,17.0,0.008703742007583792,-0.0006336224419653209
simple,C,high,17.25,0.009156661396204217,-0.00039978869736909237
simple,C,high,17.5,0.00952030483705645,-0.0006186598899429336
simple,C,high,17.75,0.009861721152324634,-0.000676293594331264
simple,C,high,18.0,0.009913648035056071,-0.0005681010648917626
simple,C,high,18.25,0.010254836541338496,-0.0002890585986875209
simple,C,high,18.5,0.010865647018431639,-0.0004410248527337203
simple,C,high,18.75,0.011317772970671871,-0.00023086050562160136
simple,C,high,19.0,0.012193211597588866,0.0002900881223891309
simple,C,high,19.25,0.012526310902569107,0.0002666881124727714
simple,C,high,19.5,0.012743719015830834,-0.00020533853722653534
simple,C,high,19.75,0.012677001907043713,-0.0005848345091902582
simple,C,high,20.0,0.012417539472103094,-0.0009286194742140267
simple,C,high,20.25,0.012612110711995476,-0.0011570148989311247
simple,C,high,20.5,0.013387988265616336,-0.0016747857705223558
simple,C,high,20.75,0.014697598752130735,-0.0017987898644443885
simple,C,high,21.0,0.015184409765023985,-0.0016817753506988
simple,C,high,21.25,0.01576415629312321,-0.0014065871853253104
simple,C,high,21.5,0.0158940174470588,-0.0017928959908826549
simple,C,high,21.75,0.016932085190883107,-0.0017537029815207622
simple,C,high,22.0,0.01830661640118705,-0.0016482754549678642
simple,C,high,22.25,0.019005540243291975,-0.0017802006636811892
simple,C,high,22.5,0.020014212017949957,-0.0015972375744609212
simple,C,high,22.75,0.020456345137966094,-0.0015068125039939847
simple,C,high,23.0,0.02023098751086985,-0.0017935553991775645
simple,C,high,23.25,0.022575093455653228,-0.0010999607834699852
simple,C,high,23.5,0.024416086350225366,-0.0019217054720239485
simple,C,high,23.75,0.02620647374138507,-0.0009426817641447743
simple,C,high,24.0,0.03129129880740195,-4.0736355268774175e-05
simple,C,high,24.25,0.03613128076393026,0.0015633920396012223
simple,C,high,24.5,0.03913311636490992,6.30106488305076e-05
simple,C,high,24.75,0.038863629909812396,-0.0007400533384623705
simple,C,high,25.0,0.04108326545133437,3.949375000028898e-05
simple,C,high,25.25,0.038489125278099404,0.001312751498271695
simple,C,high,25.5,0.034325523025261685,0.0011044362673866244
simple,C,high,25.75,0.03021532779088983,-0.0004895906172662533
simple,C,high,26.0,0.026410765359504002,-0.0011828539054991815
simple,C,high,26.25,0.024080238677427476,-0.0006357825477170179
simple,C,high,26.5,0.021908253931202777,-0.0009413493064572009
simple,C,high,26.75,0.019349480783406765,-0.0015857519426688157
simple,C,high,27.0,0.016531917781198977,-0.0009516716128279947
simple,C,high,27.25,0.013892442370581142,-0.0005341045630649138
simple,C,high,27.5,0.01092986121509368,-0.0006194717190824622
simple,C,high,27.75,0.008531458304838337,-0.0004775876509421307
simple,C,high,28.0,0.006346499809584513,-0.0001585406995032879
simple,C,high,28.25,0.004552410796107425,2.9322974238107317e-05
simple,C,high,28.5,0.0029663063673678355,0.00020772689509557826
variogram,A,all,9.5,0.0012005893050467552,-0.00015249217960460715
variogram,A,all,9.75,0.001353962872563255,-0.00018154590510254974
variogram,A,all,10.0,0.001510283108907954,-0.00021880701342986267
