year,outcome,subset,reference,improvement_pp
1996,C,all,variogram,-0.00790341728804534
1997,C,all,variogram,-0.015424178433248205
1998,C,all,variogram,-0.02216642611647529
1999,C,all,variogram,-0.011184650032629653
2000,C,all,variogram,-0.019157527609903365
2001,C,all,variogram,-0.025701240243402104
2002,C,all,variogram,-0.0036798121287429097
2003,C,all,variogram,-0.0041033646941269
2004,C,all,variogram,0.0089040711722067
2005,C,all,variogram,-0.028229277949628345
2006,C,all,variogram,0.015325129007985605
2007,C,all,variogram,-0.030022540619224942
2008,C,all,variogram,-0.01086160849318469
2009,C,all,variogram,-0.024220498010007856
2010,C,all,variogram,-0.0032275490156356487
2011,C,all,variogram,-0.01428803612186988
2012,C,all,variogram,-0.015840263682279608
2013,C,all,variogram,-0.024321554884135232
2014,C,all,variogram,-0.017517038060208164
2016,C,all,variogram,-0.027808101355622852
2017,C,all,variogram,-0.016731691471575348
2018,C,all,variogram,-0.0012983600909613133
2019,C,all,variogram,-0.044012074562505346
2020,C,all,variogram,-0.021920601103135075
2021,C,all,variogram,-0.007335546922988129
2023,C,all,variogram,-0.008728804337598817
2024,C,all,variogram,-0.000738622315448953
2025,C,all,variogram,-0.012198949694232006
1991,C,high,simple,-0.01593393911057967
1992,C,high,simple,0.026420970472862057
1993,C,high,simple,0.01723045791163034
1994,C,high,simple,-0.0011189552492723437
1995,C,high,simple,0.018251710729514682
1996,C,high,simple,-0.01060541180523105
1997,C,high,simple,0.01861212506634475
1998,C,high,simple,-0.009629428377473832
1999,C,high,simple,0.024178564523154485
2000,C,high,simple,0.0019188668831108396
2001,C,high,simple,0.020718767334713083
2002,C,high,simple,0.0012022219313108026
2003,C,high,simple,-0.006350716124958744
2004,C,high,simple,-0.016512425833534877
2005,C,high,simple,-0.008583387557363487
2006,C,high,simple,-0.019891451834760585
2007,C,high,simple,0.023118355324702224
2008,C,high,simple,-0.01747517949125723
2009,C,high,simple,-0.014497800122413237
2010,C,high,simple,-0.033712140146674625
2011,C,high,simple,0.002719985385638869
2012,C,high,simple,0.006256456984833625
2013,C,high,simple,0.06218480921873094
2014,C,high,simple,0.013018480421246766
2016,C,high,simple,-0.013216275412057839
2017,C,high,simple,0.02544403789479146
2018,C,high,simple,0.011074452687716112
2019,C,high,simple,0.015904042402410494
2020,C,high,simple,0.008318922870208592
2021,C,high,simple,0.017458875362456883
2023,C,high,simple,-6.6986529141319084e-06
2024,C,high,simple,-0.008918405789958353
2025,C,high,simple,-0.019086558421758416
1991,C,high,variogram,0.0028479336830863206
1992,C,high,variogram,0.005970067466878025
1993,C,high,variogram,-0.008390650402811083
1994,C,high,variogram,0.00513196280395832
1995,C,high,variogram,0.02850446169882729
1996,C,high,variogram,-0.0044983750968667635
1997,C,high,variogram,-0.002480860480630516
1998,C,high,variogram,-0.02762128498736572
1999,C,high,variogram,-0.00873185298979999
2000,C,high,variogram,-0.0072636539113201185
2001,C,high,variogram,0.0013399134528515808
2002,C,high,variogram,0.008478966330699098
2003,C,high,variogram,0.013051178659159723
2004,C,high,variogram,0.028815993133497406
2005,C,high,variogram,-0.016719863185654486
2006,C,high,variogram,0.005362885734024568
2007,C,high,variogram,-0.0284968546604333
2008,C,high,variogram,0.016645907723159166
2009,C,high,variogram,0.005859730453657876
2010,C,high,variogram,0.018732962779807218
2011,C,high,variogram,-0.0014780015096490726
2012,C,high,variogram,-0.00617977214730954
2013,C,high,variogram,-0.010362532767323358
2014,C,high,variogram,0.007146051561988595
2016,C,high,variogram,-0.021149486810737028
2017,C,high,variogram,0.0010264628091125397
2018,C,high,variogram,0.0547850640143387
2019,C,high,variogram,-0.03341184938370472
2020,C,high,variogram,-0.01133413595966401
2021,C,high,variogram,-0.017203762095101098
2023,C,high,variogram,0.03308144742810836
2024,C,high,variogram,0.019432825611769185
2025,C,high,variogram,0.003472654155000851
