threshold_c,high,middle,difference,lower,upper,outcome,positive_years,negative_years
25.25,0.33317731870690237,0.22482999382616578,0.10834732488073653,0.09843521619980704,0.11993208788205863,A_new344,33,0
25.5,0.29835164586840673,0.19625255194406346,0.10209909392434326,0.09291402461947057,0.11293530394628983,A_new344,33,0
25.75,0.2637615935096605,0.16816243294478772,0.09559916056487275,0.08652940837444228,0.10624661419717382,A_new344,33,0
26.0,0.22853004730412366,0.14131229360644781,0.08721775369767586,0.0781431489754861,0.09733748284437417,A_new344,33,0
26.25,0.19425721384027214,0.11625597638532835,0.0780012374549438,0.06940580698560707,0.08734954629668938,A_new344,33,0
26.5,0.16160156060301697,0.09304197424070514,0.06855958636231185,0.060702333942073625,0.07686195120813334,A_new344,33,0
26.75,0.131017726062219,0.07211211397157988,0.05890561209063914,0.05171253031510627,0.06624939732336903,A_new344,33,0
27.0,0.1033118570597289,0.05401945055308127,0.04929240650664763,0.043087111610285896,0.05544565219916853,A_new344,32,1
27.25,0.07934658467715372,0.03878472883716041,0.040561855839993305,0.03501296051241339,0.0459675486904396,A_new344,32,1
27.5,0.05895442365187925,0.026586597444010783,0.03236782620786847,0.0277774320588256,0.036739830079202895,A_new344,32,1
27.75,0.04193472677943355,0.017152819224980295,0.024781907554453256,0.020666257885024075,0.02872306413579718,A_new344,32,1
28.0,0.02788541252912031,0.010343115121058762,0.017542297408061548,0.014151658037692916,0.020839189018288424,A_new344,32,1
28.25,0.017418036417467392,0.00574537416670056,0.011672662250766831,0.009196214831149397,0.014124805025949969,A_new344,32,1
28.5,0.009969538281297947,0.0028879035798706604,0.007081634701427287,0.0054859226732124735,0.008765278486651137,A_new344,32,1
9.5,0.9904766768031724,0.988428304813475,0.0020483719896973625,0.0014904189271928124,0.0025852524196695714,C,30,3
9.75,0.9903204115423873,0.9878232169352951,0.002497194607092217,0.001783930825744619,0.003164673501281878,C,29,4
10.0,0.9901141599138746,0.9871396952179137,0.002974464695961213,0.002133900909661423,0.0037370456229826607,C,30,3
10.25,0.9898718376412885,0.9862343317328636,0.003637505908424962,0.002662891115599104,0.004531568786620013,C,30,3
10.5,0.9895182177902021,0.985149231793508,0.0043689859966940334,0.0033067642183648898,0.005347492933674309,C,31,2
10.75,0.9891623399392551,0.983857560401236,0.005304779538019125,0.004086622552265706,0.00646957603110485,C,31,2
11.0,0.9886505301653775,0.9822899269520553,0.006360603213322066,0.004944219337988065,0.007662957616535777,C,31,2
11.25,0.9880687638491865,0.9805077599572998,0.007561003891886825,0.006037963850309509,0.008926377192989055,C,31,2
11.5,0.9873881984274581,0.9783601381297119,0.009028060297746028,0.007280801025048641,0.010519364536499128,C,32,1
11.75,0.9865018509308686,0.9759381798739265,0.010563671056942087,0.00870023324454817,0.012222119267206595,C,33,0
12.0,0.9854590619281662,0.9730440873832692,0.012414974544897192,0.010368960977594151,0.014236928439706127,C,33,0
