analysis,field,minimum_days_per_regime,bandwidth_km,records,high_days,middle_days,mean_stations,n_years,estimate,standard_error,ci_lower,ci_upper,negative_years
dynamic_support_station_defined_peak_and_labels,era_wbt_c,5,251.599530062597,30,236,435,24.54580588493632,10,-0.11482567391296108,0.02316727779349539,-0.16723369731734739,-0.062417650508574785,9
dynamic_support_station_defined_peak_and_labels,era_wbt_c,5,503.199060125194,30,236,435,24.54580588493632,10,-0.13616487557300394,0.02478298733288939,-0.19222788788502207,-0.08010186326098581,10
dynamic_support_station_defined_peak_and_labels,era_wbt_c,5,1006.39812025039,30,236,435,24.54580588493632,10,-0.17982246917266803,0.026499125841522364,-0.23976765650443999,-0.11987728184089606,10
dynamic_support_station_defined_peak_and_labels,era_wbt_c,5,2012.79624050077,30,236,435,24.54580588493632,10,-0.2096215117117287,0.025813662556043285,-0.26801607336238065,-0.15122695006107673,10
dynamic_support_station_defined_peak_and_labels,observed_wbt_c,5,125.799765031298,30,236,435,24.54580588493632,10,-0.09369761125515554,0.044694606047641465,-0.1948038344667698,0.007408611956458727,8
dynamic_support_station_defined_peak_and_labels,observed_wbt_c,5,251.599530062597,30,236,435,24.54580588493632,10,-0.09572618699866692,0.03434283117524043,-0.17341506853442612,-0.01803730546290773,8
dynamic_support_station_defined_peak_and_labels,observed_wbt_c,5,503.199060125194,30,236,435,24.54580588493632,10,-0.11548176219535848,0.032949159295022616,-0.1900179389046146,-0.04094558548610236,8
dynamic_support_station_defined_peak_and_labels,observed_wbt_c,5,1006.39812025039,30,236,435,24.54580588493632,10,-0.16473204299311023,0.03146495404421092,-0.235910714163097,-0.09355337182312344,10
dynamic_support_station_defined_peak_and_labels,observed_wbt_c,5,2012.79624050077,30,236,435,24.54580588493632,10,-0.19944985817923283,0.02935336222820048,-0.2658517767976075,-0.13304793956085817,10
dynamic_support_station_defined_peak_and_labels,observed_wbt_slp_as_surface_c,5,125.799765031298,30,236,435,24.54580588493632,10,-0.0888752536248939,0.046281450782139154,-0.1935711690189894,0.01582066176920162,8
dynamic_support_station_defined_peak_and_labels,observed_wbt_slp_as_surface_c,5,251.599530062597,30,236,435,24.54580588493632,10,-0.09497490538884311,0.034394574084786196,-0.17278083751805817,-0.01716897325962806,8
dynamic_support_station_defined_peak_and_labels,observed_wbt_slp_as_surface_c,5,503.199060125194,30,236,435,24.54580588493632,10,-0.1157663643844407,0.0321391995502928,-0.1884702848555328,-0.04306244391334861,8
dynamic_support_station_defined_peak_and_labels,observed_wbt_slp_as_surface_c,5,1006.39812025039,30,236,435,24.54580588493632,10,-0.16597785351501718,0.030835219635058836,-0.23573196648064487,-0.09622374054938948,10
dynamic_support_station_defined_peak_and_labels,observed_wbt_slp_as_surface_c,5,2012.79624050077,30,236,435,24.54580588493632,10,-0.2014395495202376,0.028870983498785155,-0.2667502516406569,-0.1361288473998183,10
year_specific_fixed_common_support_frozen_era_labels,era_wbt_c,1,125.799765031298,30,122,223,19.3,10,-0.1818631270470769,0.044835528966001965,-0.2832881400478707,-0.08043811404628314,9
year_specific_fixed_common_support_frozen_era_labels,era_wbt_c,1,251.599530062597,30,122,223,19.3,10,-0.16204284350172377,0.02985341351448938,-0.22957595671917128,-0.09450973028427626,9
year_specific_fixed_common_support_frozen_era_labels,era_wbt_c,1,503.199060125194,30,122,223,19.3,10,-0.19203539529726482,0.026463172346101405,-0.2518992501718406,-0.13217154042268903,10
year_specific_fixed_common_support_frozen_era_labels,era_wbt_c,1,1006.39812025039,30,122,223,19.3,10,-0.21872137806300654,0.027013494927759358,-0.2798301491075602,-0.15761260701845284,10
year_specific_fixed_common_support_frozen_era_labels,era_wbt_c,1,2012.79624050077,30,122,223,19.3,10,-0.2348666462224635,0.0288460218820504,-0.3001208812427899,-0.1696124112021371,10
year_specific_fixed_common_support_frozen_era_labels,observed_wbt_c,1,125.799765031298,30,122,223,19.3,10,-0.11941047672690548,0.029458320966752428,-0.18604982850749957,-0.05277112494631139,9
year_specific_fixed_common_support_frozen_era_labels,observed_wbt_c,1,251.599530062597,30,122,223,19.3,10,-0.11741036578506606,0.030835910653306396,-0.18716604194257214,-0.047654689627559976,9
year_specific_fixed_common_support_frozen_era_labels,observed_wbt_c,1,503.199060125194,30,122,223,19.3,10,-0.14923948687759422,0.0324897459414408,-0.22273639837833442,-0.07574257537685403,9
year_specific_fixed_common_support_frozen_era_labels,observed_wbt_c,1,1006.39812025039,30,122,223,19.3,10,-0.1842761511486914,0.0422175130006024,-0.27977880058089016,-0.08877350171649263,9
year_specific_fixed_common_support_frozen_era_labels,observed_wbt_c,1,2012.79624050077,30,122,223,19.3,10,-0.20879212333122918,0.046529999927842985,-0.3140502959555999,-0.10353395070685846,9
year_specific_fixed_common_support_frozen_era_labels,observed_wbt_slp_as_surface_c,1,125.799765031298,30,122,223,19.3,10,-0.11579309719883076,0.02950142725694332,-0.18252996218254425,-0.049056232215117276,9
year_specific_fixed_common_support_frozen_era_labels,observed_wbt_slp_as_surface_c,1,251.599530062597,30,122,223,19.3,10,-0.11827076967887433,0.03130929131094621,-0.1890973072818169,-0.047444232075931764,9
year_specific_fixed_common_support_frozen_era_labels,observed_wbt_slp_as_surface_c,1,503.199060125194,30,122,223,19.3,10,-0.14948803209599898,0.034035154548578056,-0.22648090074691107,-0.07249516344508687,9
year_specific_fixed_common_support_frozen_era_labels,observed_wbt_slp_as_surface_c,1,1006.39812025039,30,122,223,19.3,10,-0.18560994360533625,0.044870772311510716,-0.2871146825926156,-0.08410520461805691,9
year_specific_fixed_common_support_frozen_era_labels,observed_wbt_slp_as_surface_c,1,2012.79624050077,30,122,223,19.3,10,-0.21107551503981883,0.04932730494892336,-0.32266163125431424,-0.09948939882532341,9
