analysis,domain,distance_method,target_weighting,label_rule,n_sites,bandwidth_km,weighted_mean_pair_distance_km,effective_edges,n_years,estimate,standard_error,ci_lower,ci_upper,negative_years
north_edge_inward_0.9deg_wgs84_equal_frozen_primary,north_edge_inward_0.9deg,WGS84_geodesic,equal_site,frozen_primary,439,503.199060125194,533.540526639369,46059.8283994135,33,-0.080376133667781,0.013659810769902284,-0.10820025769035035,-0.052552009645211645,28
north_edge_inward_0.9deg_wgs84_equal_frozen_primary,north_edge_inward_0.9deg,WGS84_geodesic,equal_site,frozen_primary,439,1006.39812025039,793.073454241264,82211.43950337677,33,-0.12808100393853886,0.013769800191023378,-0.15612916908041766,-0.10003283879666007,31
north_edge_inward_0.9deg_wgs84_equal_frozen_primary,north_edge_inward_0.9deg,WGS84_geodesic,equal_site,frozen_primary,439,2012.79624050077,934.5760452676094,94600.4711126688,33,-0.1541492974855884,0.01351899087021175,-0.1816865807590554,-0.1266120142121214,33
north_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,north_edge_inward_0.9deg,WGS84_geodesic,equal_site,domain_mean_relabelled,439,125.799765031298,163.99142213044928,4823.185328324062,33,-0.024176345598499484,0.009067288437186597,-0.042645807750975095,-0.0057068834460238735,21
north_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,north_edge_inward_0.9deg,WGS84_geodesic,equal_site,domain_mean_relabelled,439,251.599530062597,300.20414594273063,16427.378945135864,33,-0.03559826050720055,0.010914156972806706,-0.05782967076086809,-0.01336685025353301,23
north_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,north_edge_inward_0.9deg,WGS84_geodesic,equal_site,domain_mean_relabelled,439,503.199060125194,533.540526639369,46059.8283994135,33,-0.06260383220896237,0.012959157045621054,-0.08900077129832379,-0.03620689311960095,29
north_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,north_edge_inward_0.9deg,WGS84_geodesic,equal_site,domain_mean_relabelled,439,1006.39812025039,793.073454241264,82211.43950337677,33,-0.11060947588947136,0.013251690192579513,-0.13760228549993977,-0.08361666627900294,31
north_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,north_edge_inward_0.9deg,WGS84_geodesic,equal_site,domain_mean_relabelled,439,2012.79624050077,934.5760452676094,94600.4711126688,33,-0.1366909738991789,0.013163024292546722,-0.16350317698144262,-0.10987877081691516,33
north_edge_inward_1.8deg_wgs84_equal_frozen_primary,north_edge_inward_1.8deg,WGS84_geodesic,equal_site,frozen_primary,413,125.799765031298,164.30602596897245,4518.419607911641,33,-0.044620427810461265,0.009439065084196637,-0.06384717421155142,-0.025393681409371108,27
north_edge_inward_1.8deg_wgs84_equal_frozen_primary,north_edge_inward_1.8deg,WGS84_geodesic,equal_site,frozen_primary,413,251.599530062597,300.1767308650861,15387.57398386171,33,-0.06281299365328456,0.011181319770084191,-0.08558859671685869,-0.04003739058971044,31
