file,mean_extreme,mean_moderate,relative_effect,absolute_effect,n_extreme,n_moderate,metric,year,month,day_definition,analysis_role
200908,2.60478508436068,3.1450690897399,-0.171787642803072,-0.540284005379223,8,15,graph_h_0.125,2009,8,utc,confirmatory
201006,2.5761302295926,2.50582772312836,0.0280556024723346,0.0703025064642446,8,14,graph_h_0.125,2010,6,utc,confirmatory
201007,2.53605140664572,2.6175794939736,-0.0311463653789993,-0.0815280873278779,8,15,graph_h_0.125,2010,7,utc,confirmatory
201008,3.08002674574982,3.149928956017,-0.0221916783658418,-0.0699022102671809,8,15,graph_h_0.125,2010,8,utc,confirmatory
201106,2.38937833372305,2.51060566036582,-0.0482860883158797,-0.121227326642771,8,14,graph_h_0.125,2011,6,utc,confirmatory
201107,2.68248953772396,2.74099630432738,-0.0213450731440457,-0.0585067666034269,8,15,graph_h_0.125,2011,7,utc,confirmatory
201108,2.64248438542441,2.58537976880537,0.0220875158489493,0.0571046166190414,8,15,graph_h_0.125,2011,8,utc,confirmatory
201206,2.10652712625424,2.55011775757718,-0.173949077451384,-0.443590631322941,8,14,graph_h_0.125,2012,6,utc,confirmatory
201207,2.25881801142902,2.5795743154281,-0.124344664963006,-0.320756303999082,8,15,graph_h_0.125,2012,7,utc,confirmatory
201208,2.23267631245171,2.70070458244963,-0.1732985803184,-0.468028269997918,8,15,graph_h_0.125,2012,8,utc,confirmatory
201306,2.47158384768488,2.37405348293356,0.0410817892067037,0.0975303647513175,8,14,graph_h_0.125,2013,6,utc,confirmatory
201307,2.5797564705499,2.6219239490924,-0.0160826474608844,-0.042167478542503,8,15,graph_h_0.125,2013,7,utc,confirmatory
201308,2.80535691062671,2.80667854748584,-0.000470889999251489,-0.0013216368591249,8,15,graph_h_0.125,2013,8,utc,confirmatory
201406,2.4460550422402,2.47175651574119,-0.0103980603822901,-0.0257014735009959,8,14,graph_h_0.125,2014,6,utc,confirmatory
201407,2.39120953092559,2.41657915681798,-0.0104981563797792,-0.0253696258923903,8,15,graph_h_0.125,2014,7,utc,confirmatory
201408,2.60606476144849,2.60079389890823,0.00202663599851904,0.00527086254025599,8,15,graph_h_0.125,2014,8,utc,confirmatory
201506,2.30780179688876,2.56435345268379,-0.100045356667402,-0.256551655795033,8,14,graph_h_0.125,2015,6,utc,discovery
201507,2.4009017111392,2.85283017078755,-0.158414077457542,-0.451928459648352,8,15,graph_h_0.125,2015,7,utc,discovery
201508,2.82803464437721,3.18035017021115,-0.110778847289808,-0.352315525833935,8,15,graph_h_0.125,2015,8,utc,discovery
201606,2.80232808299036,2.71151060754994,0.0334933137224493,0.0908174754404194,8,14,graph_h_0.125,2016,6,utc,confirmatory
201607,2.75197959218637,2.60542597026115,0.0562493901565444,0.146553621925213,8,15,graph_h_0.125,2016,7,utc,confirmatory
201608,2.70459594823275,2.35668341374996,0.147628032027088,0.347912534482786,8,15,graph_h_0.125,2016,8,utc,confirmatory
201706,2.4177071558913,2.5334696526049,-0.0456932636215244,-0.115762496713608,8,14,graph_h_0.125,2017,6,utc,confirmatory
201707,2.47157562947762,2.65630547370346,-0.0695439007503453,-0.184729844225832,8,15,graph_h_0.125,2017,7,utc,confirmatory
201708,2.73408428886799,2.67638872777596,0.0215572425983024,0.0576955610920282,8,15,graph_h_0.125,2017,8,utc,confirmatory
201806,2.46888291093089,2.68914697927333,-0.0819085271426711,-0.220264068342442,8,14,graph_h_0.125,2018,6,utc,confirmatory
201807,2.10611375810567,2.33824034526989,-0.099274049236981,-0.232126587164219,8,15,graph_h_0.125,2018,7,utc,confirmatory
201808,2.23475162868403,2.48391033358898,-0.10030905767236,-0.249158704904946,8,15,graph_h_0.125,2018,8,utc,confirmatory
201906,2.44735188988431,2.6453488763984,-0.0748472113756356,-0.197996986514091,8,14,graph_h_0.125,2019,6,utc,confirmatory
201907,2.68539187500881,2.80917120925198,-0.0440625811041718,-0.12377933424317,8,15,graph_h_0.125,2019,7,utc,confirmatory
201908,2.6947388987077,2.93716014061855,-0.0825359293687676,-0.242421241910852,8,15,graph_h_0.125,2019,8,utc,confirmatory
202006,2.49067919418415,2.67469291967887,-0.0687980755251771,-0.184013725494724,8,14,graph_h_0.125,2020,6,utc,confirmatory
202007,2.30419756054721,2.3127621858288,-0.00370320188304063,-0.0085646252815863,8,15,graph_h_0.125,2020,7,utc,confirmatory
202008,2.84916927966572,2.8245820888791,0.00870471808322626,0.0245871907866229,8,15,graph_h_0.125,2020,8,utc,confirmatory
202106,2.31882899516999,2.78735825295862,-0.16809079252418,-0.468529257788628,8,14,graph_h_0.125,2021,6,utc,confirmatory
202107,2.32499473482833,2.38751079565932,-0.0261846191207364,-0.0625160608309856,8,15,graph_h_0.125,2021,7,utc,confirmatory
202108,2.872544893401,2.91992245942932,-0.0162256247166159,-0.0473775660283184,8,15,graph_h_0.125,2021,8,utc,confirmatory
202206,2.61661404690248,2.65008920398957,-0.0126317095427174,-0.0334751570870875,8,14,graph_h_0.125,2022,6,utc,discovery
