basis,year,analysis_role,bandwidth_km,total_effect,structured_component,residual_component
latitude,2010,held_out,125.799765,-0.008427480420972789,-0.03504600399668414,0.026618523575711626
latitude,2010,held_out,251.59953,-0.01879529319003535,-0.054926342824380525,0.03613104963434524
latitude,2010,held_out,503.19906,-0.041185836341033906,-0.08623007120681518,0.04504423486578173
latitude,2010,held_out,1006.39812,-0.09754692520207646,-0.12757493976756562,0.030028014565489494
latitude,2010,held_out,2012.796241,-0.13640810627863373,-0.15403733694978333,0.017629230671150024
latitude,2011,held_out,125.799765,-0.01584788186485547,-0.03616414430493579,0.02031626244007995
latitude,2011,held_out,251.59953,-0.0260348482455267,-0.061327828753049686,0.035292980507522734
latitude,2011,held_out,503.19906,-0.04518523210659234,-0.10574596349187615,0.060560731385284415
latitude,2011,held_out,1006.39812,-0.1090168797877683,-0.15582673475272232,0.046809854964953844
latitude,2011,held_out,2012.796241,-0.1475352779934929,-0.1806009363616641,0.03306565836817144
latitude,2012,held_out,125.799765,-0.1571974408947636,-0.04135024757084644,-0.11584719332391667
latitude,2012,held_out,251.59953,-0.2205943322735009,-0.0762368227975963,-0.1443575094759059
latitude,2012,held_out,503.19906,-0.30072007700997117,-0.14600656980543367,-0.15471350720453816
latitude,2012,held_out,1006.39812,-0.35095429540952966,-0.21858843916742068,-0.13236585624210798
latitude,2012,held_out,2012.796241,-0.3687728230283079,-0.25187747060947213,-0.11689535241883604
latitude,2013,held_out,125.799765,0.008176083921415675,-0.01783815880746863,0.026014242728885067
latitude,2013,held_out,251.59953,-0.010132641060299631,-0.029053195374978528,0.01892055431467953
latitude,2013,held_out,503.19906,-0.03432284107489583,-0.05541582858264401,0.02109298750774867
latitude,2013,held_out,1006.39812,-0.07822947751411015,-0.09090941579915551,0.012679938285045789
latitude,2013,held_out,2012.796241,-0.10311575953814926,-0.1089586460615829,0.00584288652343357
latitude,2014,held_out,125.799765,-0.006289860253141051,-0.014519876543691282,0.008230016290549766
latitude,2014,held_out,251.59953,-0.00015455880921028467,-0.023288079858364605,0.023133521049154625
latitude,2014,held_out,503.19906,0.01830117620932165,-0.03505583989094007,0.05335701610026122
latitude,2014,held_out,1006.39812,0.0017858475343076237,-0.047201478423395234,0.04898732595770297
latitude,2014,held_out,2012.796241,-0.015194974421261267,-0.05375608472557123,0.038561110304310024
latitude,2015,development,125.799765,-0.12307942713081617,-0.04312555670669379,-0.07995387042412339
latitude,2015,development,251.59953,-0.16661662497585855,-0.08037990465087422,-0.08623672032498404
latitude,2015,development,503.19906,-0.22276200194116377,-0.1421670925012924,-0.08059490943987142
latitude,2015,development,1006.39812,-0.27098200915203546,-0.20527118650095258,-0.06571082265108284
latitude,2015,development,2012.796241,-0.2946707833290038,-0.2355997400172027,-0.05907104331180125
latitude,2016,held_out,125.799765,0.07912357863129701,-0.005742171513338404,0.08486575014463449
latitude,2016,held_out,251.59953,0.08252566992165716,-0.019936355265306464,0.1024620251869644
latitude,2016,held_out,503.19906,0.07206136471425556,-0.0540317333292785,0.12609309804353444
latitude,2016,held_out,1006.39812,0.03373301473450221,-0.09056328770515448,0.1242963024396558
latitude,2016,held_out,2012.796241,0.009219372640083887,-0.10864620189053824,0.11786557453062226
latitude,2017,held_out,125.799765,-0.031226640591833475,-0.02533581998559001,-0.005890820606242551
latitude,2017,held_out,251.59953,-0.03188029811436199,-0.04426366382038377,0.012383365706021285
latitude,2017,held_out,503.19906,-0.04596668137392387,-0.07697215605240913,0.031005474678485394
latitude,2017,held_out,1006.39812,-0.09289706397486924,-0.11720514791977892,0.024308083944909683
latitude,2017,held_out,2012.796241,-0.12391302360063723,-0.14056507688055367,0.01665205327991653
latitude,2018,held_out,125.799765,-0.09383054467694925,-0.03619191900082971,-0.057638625676119985
latitude,2018,held_out,251.59953,-0.11276327190304945,-0.0614610838107191,-0.05130218809232986
latitude,2018,held_out,503.19906,-0.13352527855588656,-0.10861437567286235,-0.02491090288302446
latitude,2018,held_out,1006.39812,-0.19448298934705746,-0.17303597023673553,-0.021447019110321052
latitude,2018,held_out,2012.796241,-0.23857265439347672,-0.21301198881876568,-0.025560665574710668
latitude,2019,held_out,125.799765,-0.06714857394782936,-0.029138992136263833,-0.03800958181156452
latitude,2019,held_out,251.59953,-0.07598703187615126,-0.05210446465388326,-0.023882567222266796
latitude,2019,held_out,503.19906,-0.08557682368616627,-0.08902661820692019,0.00344979452075408
latitude,2019,held_out,1006.39812,-0.1128355219792222,-0.1298602591813622,0.017024737202140143
latitude,2019,held_out,2012.796241,-0.134732727997639,-0.15303265700908458,0.018299929011445167
latitude,2020,held_out,125.799765,-0.021265519774372698,-0.01480047450662878,-0.0064650452677442434
latitude,2020,held_out,251.59953,-0.02977817004723936,-0.029264075701028573,-0.0005140943462111896
latitude,2020,held_out,503.19906,-0.05846457380712139,-0.06264223497920479,0.004177661172083523
latitude,2020,held_out,1006.39812,-0.09540801502952782,-0.09668441510591759,0.0012764000763893345
latitude,2020,held_out,2012.796241,-0.11069292696821968,-0.109517382699318,-0.0011755442689019731
latitude,2021,held_out,125.799765,-0.07016701211954778,-0.02610608316516762,-0.04406092895437982
latitude,2021,held_out,251.59953,-0.06809586654192397,-0.04413951288963353,-0.0239563536522898
latitude,2021,held_out,503.19906,-0.07067664628319652,-0.07582480426807127,0.005148157984873563
latitude,2021,held_out,1006.39812,-0.10265702027201092,-0.11093119036475453,0.008274170092743578
latitude,2021,held_out,2012.796241,-0.12381785211045827,-0.12833958808398996,0.004521735973531608
latitude,2022,development,125.799765,0.03352085567405027,-0.03125538312723373,0.06477623880128347
latitude,2022,development,251.59953,-0.006512407204472187,-0.06152908277424259,0.05501667556977099
latitude,2022,development,503.19906,-0.08609336953850767,-0.1124468087605464,0.0263534392220387
latitude,2022,development,1006.39812,-0.16734205550615536,-0.1769136873655219,0.009571631859367194
latitude,2022,development,2012.796241,-0.20914802032667823,-0.21405829381053998,0.0049102734838617585
latitude,2023,held_out,125.799765,-0.13617324701650016,-0.028270653819074686,-0.10790259319742572
latitude,2023,held_out,251.59953,-0.17455839583263708,-0.054058104828357635,-0.12050029100427921
latitude,2023,held_out,503.19906,-0.21635927277249598,-0.10385114815719261,-0.11250812461530373
latitude,2023,held_out,1006.39812,-0.2486619741035653,-0.16037542543263147,-0.08828654867093388
