year,bandwidth_km,total_effect,anomaly_energy_component,climatology_anomaly_cross_component,climatology_energy_component
1962,251.59953,-0.044355273277993566,-0.04833479273501785,0.003979519457024075,0.0
1962,503.19906,-0.065636702503506,-0.0394456151377193,-0.02619108736578625,0.0
1962,1006.39812,-0.10868590387469783,-0.027111569625766035,-0.08157433424893172,0.0
1962,2012.796241,-0.13086295660785155,-0.020683600001579688,-0.11017935660627158,0.0
1963,125.799765,-0.05411899448105655,-0.016934783360040034,-0.03718421112101702,0.0
1963,251.59953,-0.052044596303230134,-0.011158689933320837,-0.04088590636990922,0.0
1963,503.19906,-0.03914290184310853,-0.002753526943502123,-0.036389374899606565,0.0
1963,1006.39812,-0.052394190157526034,0.009346151984099873,-0.061740342141625916,0.0
1963,2012.796241,-0.07393960610494689,0.01634451714318381,-0.0902841232481308,0.0
1964,125.799765,-0.069727884093665,-0.022768517340977294,-0.0469593667526875,0.0
1964,251.59953,-0.0957947682805146,-0.016805532583399712,-0.07898923569711515,0.0
1964,503.19906,-0.13794030852462127,-0.0018903800178914209,-0.13604992850672976,0.0
1964,1006.39812,-0.18291637976000577,0.012588840638355062,-0.1955052203983607,0.0
1964,2012.796241,-0.2077451226266924,0.018547774240099135,-0.22629289686679135,0.0
1965,125.799765,-0.042067962665754764,-0.040120274121288206,-0.0019476885444667292,0.0
1965,251.59953,-0.04380749651888205,-0.036740624851754076,-0.007066871667127867,0.0
1965,503.19906,-0.03721157379988722,-0.021787651498644988,-0.015423922301242898,0.0
1965,1006.39812,-0.05632316201454011,-0.011552820867589832,-0.04477034114695064,0.0
1965,2012.796241,-0.07811372507631492,-0.008578211374969773,-0.06953551370134532,0.0
1966,125.799765,-0.002020647133428035,0.001065883166271842,-0.003086530299700043,0.0
1966,251.59953,-0.0030688443038972605,0.002757455454861526,-0.005826299758759239,0.0
1966,503.19906,-0.013123609147139717,0.012574726893912778,-0.025698336041053038,0.0
1966,1006.39812,-0.06875377307292162,0.01661935454962923,-0.08537312762255113,0.0
1966,2012.796241,-0.1061844231359086,0.01571400745240292,-0.12189843058831157,0.0
1967,125.799765,-0.09584385240257409,-0.032323523886721515,-0.06352032851585272,0.0
1967,251.59953,-0.14127328766513236,-0.03445171698400092,-0.10682157068113159,0.0
1967,503.19906,-0.18607858846869338,-0.02747308251605421,-0.15860550595263911,0.0
1967,1006.39812,-0.21244960162411872,-0.008158101675466245,-0.20429149994865278,0.0
1967,2012.796241,-0.23018562317067892,0.003299284086587586,-0.23348490725726653,0.0
1968,125.799765,0.05917930546467721,-0.01798561486439421,0.07716492032907082,0.0
1968,251.59953,0.050364514474346554,-0.019762963863138295,0.07012747833748467,0.0
1968,503.19906,0.011629145613247438,-0.024864219209387934,0.03649336482263552,0.0
1968,1006.39812,-0.039988985207111416,-0.01649661676328738,-0.023492368443824102,0.0
1968,2012.796241,-0.06308598277393751,-0.008461048053412466,-0.05462493472052493,0.0
1969,125.799765,-0.033230323320128936,-0.015669298931724654,-0.01756102438840405,0.0
1969,251.59953,-0.0362601232852961,-0.024397408093487383,-0.01186271519180838,0.0
1969,503.19906,-0.053995162670461914,-0.029711282349189017,-0.024283880321272447,0.0
1969,1006.39812,-0.09584433390331636,-0.028591935243938448,-0.0672523986593782,0.0
1969,2012.796241,-0.1177679050157608,-0.027647982202311017,-0.0901199228134499,0.0
1970,125.799765,-0.0864267814208064,-0.012018150399218913,-0.07440863102158723,0.0
1970,251.59953,-0.06402371860290786,-0.016469752492678496,-0.047553966110229,0.0
1970,503.19906,-0.061109829525373006,-0.014711587546463437,-0.04639824197890985,0.0
1970,1006.39812,-0.10467335098480453,-0.007638096539768047,-0.09703525444503619,0.0
1970,2012.796241,-0.13287833999802837,-0.0023903703471278687,-0.13048796965090048,0.0
1971,125.799765,-0.15021163432681045,-0.09125927799090032,-0.05895235633591021,0.0
1971,251.59953,-0.17179845139216995,-0.08383187462866648,-0.08796657676350365,0.0
1971,503.19906,-0.1975044223370662,-0.05700311672421523,-0.1405013056128505,0.0
1971,1006.39812,-0.239693065400717,-0.02737973082450434,-0.21231333457621268,0.0
1971,2012.796241,-0.26437675852247433,-0.012487476236134316,-0.25188928228634005,0.0
1972,125.799765,-0.061295964744248026,-0.026269626716190795,-0.03502633802805724,0.0
1972,251.59953,-0.09247714843007053,-0.03761196808381335,-0.054865180346256724,0.0
1972,503.19906,-0.13490768269744155,-0.04405607406099435,-0.09085160863644691,0.0
1972,1006.39812,-0.18319885609271958,-0.040653877682821894,-0.14254497840989777,0.0
1972,2012.796241,-0.20694345403806744,-0.03762460459424905,-0.16931884944381848,0.0
1973,125.799765,-0.039116818317172224,-0.02965817323138011,-0.009458645085792286,0.0
1973,251.59953,-0.04752150574255678,-0.03190252903560716,-0.015618976706949476,0.0
1973,503.19906,-0.05555738758834835,-0.0248786054466841,-0.030678782141664526,0.0
1973,1006.39812,-0.08450528942195491,-0.012001663662381937,-0.07250362575957252,0.0
1973,2012.796241,-0.10686727463909194,-0.0037020525007649082,-0.103165222138327,0.0
1974,125.799765,-0.1288401430285229,-0.061026532642628036,-0.06781361038589502,0.0
1974,251.59953,-0.14980105714925332,-0.06135769060417926,-0.08844336654507384,0.0
1974,503.19906,-0.16998626818721893,-0.04368689098610155,-0.1262993772011172,0.0
1974,1006.39812,-0.20581485202392766,-0.017514476899679356,-0.18830037512424827,0.0
1974,2012.796241,-0.22763809436129612,-0.004271401317579327,-0.22336669304371673,0.0
1975,125.799765,-0.09240691261119079,-0.04940399323789879,-0.04300291937329236,0.0
1975,251.59953,-0.1039047689711269,-0.050947701614077044,-0.052957067357050275,0.0
1975,503.19906,-0.13490962182988556,-0.037784173810663714,-0.09712544801922239,0.0
1975,1006.39812,-0.184813338362697,-0.0186349974415461,-0.16617834092115089,0.0
