basis,year,bandwidth_km,total_effect,structured_component,residual_component
latitude_longitude,1958,125.799765,0.01585465282836196,-0.02934399144050896,0.04519864426887168
latitude_longitude,1958,251.59953,-0.014626750335436525,-0.05245534602076337,0.03782859568532747
latitude_longitude,1958,503.19906,-0.06160448311016578,-0.09962236512350796,0.03801788201334256
latitude_longitude,1958,1006.39812,-0.13003219744765018,-0.16344198478932248,0.033409787341672055
latitude_longitude,1958,2012.796241,-0.16868326621223365,-0.1978892205298877,0.02920595431765378
latitude_longitude,1959,125.799765,-0.06816745640684217,-0.026742858974969055,-0.041424597431873204
latitude_longitude,1959,251.59953,-0.10202947019020142,-0.04397012417574383,-0.058059346014457634
latitude_longitude,1959,503.19906,-0.13675158018280567,-0.07768035492556359,-0.05907122525724213
latitude_longitude,1959,1006.39812,-0.1792073132187555,-0.13365681959580236,-0.04555049362295333
latitude_longitude,1959,2012.796241,-0.20704593452903164,-0.1691873981740213,-0.03785853635501099
latitude_longitude,1960,125.799765,-0.06988068619005923,-0.0308763691854399,-0.039004317004619114
latitude_longitude,1960,251.59953,-0.08255716801553586,-0.052906936510919954,-0.029650231504616834
latitude_longitude,1960,503.19906,-0.10113203140751748,-0.09945222568200802,-0.001679805725509727
latitude_longitude,1960,1006.39812,-0.14857537449295993,-0.15686209943738802,0.00828672494442778
latitude_longitude,1960,2012.796241,-0.18028817034158448,-0.1878401422654783,0.007551971923892971
latitude_longitude,1961,125.799765,-0.06581826602362958,-0.04403315525828982,-0.021785110765340187
latitude_longitude,1961,251.59953,-0.11315494857686863,-0.07739894120508407,-0.03575600737178567
latitude_longitude,1961,503.19906,-0.18978216003250492,-0.14101375760541365,-0.04876840242709122
latitude_longitude,1961,1006.39812,-0.2440124138425733,-0.20308333258779465,-0.040929081254778545
latitude_longitude,1961,2012.796241,-0.2633718417185947,-0.22911147272893306,-0.03426036898966215
latitude_longitude,1962,125.799765,-0.03883719274628628,-0.026081915196795008,-0.012755277549490946
latitude_longitude,1962,251.59953,-0.044355273277993566,-0.040551965263212586,-0.0038033080147811906
latitude_longitude,1962,503.19906,-0.065636702503506,-0.07261480389048623,0.006978101386980323
latitude_longitude,1962,1006.39812,-0.10868590387469783,-0.11467282335832357,0.005986919483625464
latitude_longitude,1962,2012.796241,-0.13086295660785155,-0.13481142216522066,0.003948465557369277
latitude_longitude,1963,125.799765,-0.05411899448105655,-0.025076595816639468,-0.029042398664417563
latitude_longitude,1963,251.59953,-0.052044596303230134,-0.03714604043095323,-0.014898555872277147
latitude_longitude,1963,503.19906,-0.03914290184310853,-0.048027067887986476,0.00888416604487787
latitude_longitude,1963,1006.39812,-0.052394190157526034,-0.06601559479902787,0.013621404641501356
latitude_longitude,1963,2012.796241,-0.07393960610494689,-0.08338944928404224,0.009449843179095191
latitude_longitude,1964,125.799765,-0.069727884093665,-0.03807398204150427,-0.031653902052160086
latitude_longitude,1964,251.59953,-0.0957947682805146,-0.06844639327223455,-0.027348375008280325
latitude_longitude,1964,503.19906,-0.13794030852462127,-0.12291295632758305,-0.015027352197038596
latitude_longitude,1964,1006.39812,-0.18291637976000577,-0.18130960496321866,-0.0016067747967869795
latitude_longitude,1964,2012.796241,-0.2077451226266924,-0.20958044577897453,0.0018353231522819184
latitude_longitude,1965,125.799765,-0.042067962665754764,-0.004547998621971547,-0.037519964043784125
latitude_longitude,1965,251.59953,-0.04380749651888205,-0.01407358136368833,-0.029733915155193608
latitude_longitude,1965,503.19906,-0.03721157379988722,-0.035108587325486766,-0.0021029864744008934
latitude_longitude,1965,1006.39812,-0.05632316201454011,-0.06972622647555704,0.013403064461016419
latitude_longitude,1965,2012.796241,-0.07811372507631492,-0.09296461456279681,0.014850889486481273
latitude_longitude,1966,125.799765,-0.002020647133428035,-0.021198467583163974,0.019177820449735736
latitude_longitude,1966,251.59953,-0.0030688443038972605,-0.04075442325268942,0.03768557894879194
latitude_longitude,1966,503.19906,-0.013123609147139717,-0.07607402902427254,0.06295041987713206
