partition,lower,upper,record,year,scale,high_n,middle_n,ratio,rms_absolute
Quartiles,0.25,0.75,199908,1999,1,8,15,-0.15143868427918505,-0.17973304216300123
Quartiles,0.25,0.75,199908,1999,2,8,15,-0.1948572358417251,-0.2977430910088481
Quartiles,0.25,0.75,199908,1999,3,8,15,-0.24500586482334596,-0.5131385959745596
Quartiles,0.25,0.75,199908,1999,4,8,15,-0.30123958737348033,-0.8274892445084143
Quartiles,0.25,0.75,199908,1999,5,8,15,-0.33198675021511614,-1.0297532994091672
Quartiles,0.25,0.75,199908,1999,6,8,15,-0.3448245691830949,-1.1168022783775662
Quartiles,0.25,0.75,200006,2000,1,8,14,0.002881790235529369,0.003156316628484035
Quartiles,0.25,0.75,200006,2000,2,8,14,-0.013165043592569425,-0.01867526706786604
Quartiles,0.25,0.75,200006,2000,3,8,14,-0.033880007731831085,-0.06678601323063393
Quartiles,0.25,0.75,200006,2000,4,8,14,-0.07206117682934687,-0.18941144513576713
Quartiles,0.25,0.75,200006,2000,5,8,14,-0.0948584279716439,-0.28330222461623844
Quartiles,0.25,0.75,200006,2000,6,8,14,-0.10430555493375104,-0.325973352512988
Quartiles,0.25,0.75,200007,2000,1,8,15,-0.1535131147170269,-0.188507067182345
Quartiles,0.25,0.75,200007,2000,2,8,15,-0.21403026566576278,-0.34242605659243264
Quartiles,0.25,0.75,200007,2000,3,8,15,-0.30205976828563375,-0.6626522426905157
Quartiles,0.25,0.75,200007,2000,4,8,15,-0.3741192574083152,-1.035136543752778
Quartiles,0.25,0.75,200007,2000,5,8,15,-0.4055862627318756,-1.2345711635570158
Quartiles,0.25,0.75,200007,2000,6,8,15,-0.41752128454329374,-1.3125389927615574
Quartiles,0.25,0.75,200008,2000,1,8,15,-0.18044906582120723,-0.22527544005836342
Quartiles,0.25,0.75,200008,2000,2,8,15,-0.17033923301352216,-0.2687033832725665
Quartiles,0.25,0.75,200008,2000,3,8,15,-0.16645653675392558,-0.35251044394257214
Quartiles,0.25,0.75,200008,2000,4,8,15,-0.21089431451001717,-0.5714209413984666
Quartiles,0.25,0.75,200008,2000,5,8,15,-0.24168798944111813,-0.7279075978053404
Quartiles,0.25,0.75,200008,2000,6,8,15,-0.255106569588884,-0.7967314776507424
Quartiles,0.25,0.75,200106,2001,1,8,14,-0.006244274206891887,-0.007240553229752589
Quartiles,0.25,0.75,200106,2001,2,8,14,0.0062152194404132555,0.00928039630423605
Quartiles,0.25,0.75,200106,2001,3,8,14,0.014996955999545092,0.030526269280289675
Quartiles,0.25,0.75,200106,2001,4,8,14,-0.02236914021980063,-0.05942844215319987
Quartiles,0.25,0.75,200106,2001,5,8,14,-0.055752825158209895,-0.16739395066635865
Quartiles,0.25,0.75,200106,2001,6,8,14,-0.07123199474135533,-0.22350315674172538
Quartiles,0.25,0.75,200107,2001,1,8,15,-0.03313110604651426,-0.03996754635445399
Quartiles,0.25,0.75,200107,2001,2,8,15,-0.04327813459631491,-0.06700469422118749
Quartiles,0.25,0.75,200107,2001,3,8,15,-0.040585001126648534,-0.08491726775292374
Quartiles,0.25,0.75,200107,2001,4,8,15,-0.05100625232269185,-0.13436410816520183
Quartiles,0.25,0.75,200107,2001,5,8,15,-0.05761039720946037,-0.1663759402829985
Quartiles,0.25,0.75,200107,2001,6,8,15,-0.059707255359567446,-0.17763697886921648
Quartiles,0.25,0.75,200108,2001,1,8,15,-0.16392685676274066,-0.21598648761105244
Quartiles,0.25,0.75,200108,2001,2,8,15,-0.1794026975186206,-0.3003178947156804
Quartiles,0.25,0.75,200108,2001,3,8,15,-0.22463963322963376,-0.5099258795194501
Quartiles,0.25,0.75,200108,2001,4,8,15,-0.29009530712937803,-0.8532421327651925
Quartiles,0.25,0.75,200108,2001,5,8,15,-0.3291223796520413,-1.0907978640661407
Quartiles,0.25,0.75,200108,2001,6,8,15,-0.3455699128866213,-1.1956448183847623
Quartiles,0.25,0.75,200206,2002,1,8,14,0.014058693747038387,0.015310547812472208
Quartiles,0.25,0.75,200206,2002,2,8,14,-0.005976209165101776,-0.008367994229261377
Quartiles,0.25,0.75,200206,2002,3,8,14,-0.030384678207578952,-0.058452681670881024
Quartiles,0.25,0.75,200206,2002,4,8,14,-0.039206584520246834,-0.09907990238816833
Quartiles,0.25,0.75,200206,2002,5,8,14,-0.04609755203411925,-0.13235970984913337
Quartiles,0.25,0.75,200206,2002,6,8,14,-0.04942409195327635,-0.14878099678462764
Quartiles,0.25,0.75,200207,2002,1,8,15,0.2026940681672651,0.22207158515055037
Quartiles,0.25,0.75,200207,2002,2,8,15,0.23958532542915711,0.325035865402191
Quartiles,0.25,0.75,200207,2002,3,8,15,0.30910461398439093,0.5390518806432922
Quartiles,0.25,0.75,200207,2002,4,8,15,0.330912625975919,0.7073434746115677
Quartiles,0.25,0.75,200207,2002,5,8,15,0.31644261602475865,0.7399277446119603
Quartiles,0.25,0.75,200207,2002,6,8,15,0.30646233267178413,0.739236679258819
Quartiles,0.25,0.75,200208,2002,1,8,15,-0.14089307361612813,-0.18125295256919483
Quartiles,0.25,0.75,200208,2002,2,8,15,-0.16472235276871272,-0.2733065106869774
Quartiles,0.25,0.75,200208,2002,3,8,15,-0.18120115444403095,-0.40345464301031075
Quartiles,0.25,0.75,200208,2002,4,8,15,-0.22835866998025267,-0.6486715019664793
Quartiles,0.25,0.75,200208,2002,5,8,15,-0.2607328850834276,-0.8271607711680975
Quartiles,0.25,0.75,200208,2002,6,8,15,-0.27392617987654155,-0.903454419230636
Quartiles,0.25,0.75,200306,2003,1,8,14,-0.0888117850128175,-0.1052820337487641
Quartiles,0.25,0.75,200306,2003,2,8,14,-0.13216717896733143,-0.20589774787576998
Quartiles,0.25,0.75,200306,2003,3,8,14,-0.1376595484943124,-0.2913344306522676
Quartiles,0.25,0.75,200306,2003,4,8,14,-0.1343020636957568,-0.3654768894623608
Quartiles,0.25,0.75,200306,2003,5,8,14,-0.14447829328063033,-0.44332965255425627
Quartiles,0.25,0.75,200306,2003,6,8,14,-0.15113151723624962,-0.48496983465854093
Quartiles,0.25,0.75,200307,2003,1,8,15,0.028211910388826755,0.031668746247261126
Quartiles,0.25,0.75,200307,2003,2,8,15,0.05931676177563072,0.08422652471800118
Quartiles,0.25,0.75,200307,2003,3,8,15,0.057643575563330884,0.10985379827212727
Quartiles,0.25,0.75,200307,2003,4,8,15,-0.061022301541304946,-0.1511580681706537
Quartiles,0.25,0.75,200307,2003,5,8,15,-0.12582655495066142,-0.34816979505895507
Quartiles,0.25,0.75,200307,2003,6,8,15,-0.15081086657189569,-0.43331448266559214
Quartiles,0.25,0.75,200308,2003,1,8,15,0.08939397813189309,0.09946363049044304
Quartiles,0.25,0.75,200308,2003,2,8,15,0.09453161362548701,0.1346155378434033
Quartiles,0.25,0.75,200308,2003,3,8,15,0.0661614953722125,0.128995345770901
