partition,year,scale,ratio,rms_absolute
25--70,2023,2,-0.18874556493168185,-0.31612308855226673
25--70,2023,3,-0.22781993875257076,-0.5332615654029458
25--70,2023,4,-0.25594140041755925,-0.7800750893201851
25--70,2023,5,-0.271904399576589,-0.9205008510379749
25--70,2023,6,-0.2786984004375482,-0.9767037475150566
25--70,2024,1,0.038234172062345216,0.04045694373126777
25--70,2024,2,0.02144201166202105,0.02384250928572366
25--70,2024,3,-0.00575147169739935,-0.027971318027455006
25--70,2024,4,-0.054850967832871765,-0.16879452572573536
25--70,2024,5,-0.08176511637243304,-0.2696986694488602
25--70,2024,6,-0.09274259615599105,-0.31474034760532926
25--70,2025,1,-0.09484189200156797,-0.10987534481424503
25--70,2025,2,-0.11485684740010771,-0.17004429934327966
25--70,2025,3,-0.13481698320438404,-0.2690482150692051
25--70,2025,4,-0.16161799014332837,-0.41977714768663316
25--70,2025,5,-0.17614926609618672,-0.5193210903725273
25--70,2025,6,-0.18168047937456996,-0.5616072183923407
25--80,1991,1,0.06040658435712295,0.06746873407134713
25--80,1991,2,0.07220358074461701,0.10057283957974672
25--80,1991,3,0.08166149948183372,0.14390844865756725
25--80,1991,4,0.0391930241923398,0.07327338691921348
25--80,1991,5,0.002180762341157975,-0.0170060837427443
25--80,1991,6,-0.01454155198483805,-0.06312184344487637
25--80,1992,1,0.04252686226638706,0.0450451315940669
25--80,1992,2,0.027528464905219912,0.032287698140928946
25--80,1992,3,0.012240134121471772,0.008453704730823445
25--80,1992,4,-0.03991062270485135,-0.1114953090958594
25--80,1992,5,-0.07515517122093292,-0.2173565082323504
25--80,1992,6,-0.09011813780098014,-0.26745662581693735
25--80,1993,1,-0.013769252992997694,-0.02127097329570926
25--80,1993,2,-0.006004137396038001,-0.01813556758088127
25--80,1993,3,-0.0022789497996336117,-0.01633613224630448
25--80,1993,4,-0.031188296250654595,-0.0924783385984244
25--80,1993,5,-0.057538609051442334,-0.1800215853616877
25--80,1993,6,-0.069440901463475,-0.2236746003606814
25--80,1994,1,0.0943114758981664,0.10063799222062479
25--80,1994,2,0.10806120407937843,0.1368509093344986
25--80,1994,3,0.10669652096029832,0.15472930152286132
25--80,1994,4,0.04338087103339169,0.054176513489961366
25--80,1994,5,-0.003935822377267306,-0.045932984867888806
25--80,1994,6,-0.02461463804217608,-0.09545756348842567
25--80,1995,1,-0.03972219964675546,-0.047217113802570466
25--80,1995,2,-0.07201251655529876,-0.11010351978761272
25--80,1995,3,-0.118749620313915,-0.25130923541180517
25--80,1995,4,-0.15566863905201198,-0.418026269055541
25--80,1995,5,-0.1705265698440421,-0.5018879749463713
25--80,1995,6,-0.17606134607180726,-0.5337664183533685
25--80,1996,1,-0.08172467224603763,-0.10355509873251512
25--80,1996,2,-0.07255149467859179,-0.11761101283819404
25--80,1996,3,-0.07244523665834623,-0.1546252498624424
25--80,1996,4,-0.12961283467584284,-0.3421004148080904
25--80,1996,5,-0.16714725679199738,-0.48977073942368704
25--80,1996,6,-0.18270089165299572,-0.5559938164654078
25--80,1997,1,-0.0972889022559686,-0.12238434145792532
25--80,1997,2,-0.13966218747182638,-0.22220435109233025
